ECount,Target,MaxSources,StdDevSources,NSources,Source,Year,AvgSources,QuadClass
2,TON,81,26.16295090390226,125,GRC,2012,62.5,2
14,HRV,77,35.62934955132565,318,GRC,2012,22.714285714285715,4
5,TUN,37,15.690761613127643,76,GRC,2010,15.2,2
4,TON,38,17.53805386390786,57,GRC,2010,14.25,2
11,LAO,55,18.975103305503914,136,GRC,2012,12.363636363636363,2
10,PRK,55,18.54154494342068,123,GRC,2012,12.3,3
5,CMR,17,8.763560920082657,53,GRC,2011,10.6,1
4,TON,24,9.84462628374824,37,GRC,2011,9.25,2
129,HUN,93,20.879632661460292,1144,GRC,2013,8.868217054263566,1
2,TUN,16,10.606601717798213,17,GRC,2014,8.5,2
31,LBY,86,20.460820151947054,236,GRC,2012,7.612903225806452,2
9,BOL,28,11.069226611546888,67,GRC,2010,7.444444444444445,3
40,GRD,83,19.9015364694828,293,GRC,2010,7.325,1
3,PRK,10,5.196152422706632,21,GRC,2013,7.0,4
77,IRL,60,15.257787138137033,519,GRC,2012,6.740259740259741,4
22,ARM,21,9.064463699772986,144,GRC,2011,6.545454545454546,3
4,PRK,12,6.350852961085883,26,GRC,2014,6.5,1
23,BRA,37,11.332732681905354,147,GRC,2012,6.391304347826087,2
3,BHR,17,9.237604307034013,19,GRC,2011,6.333333333333333,2
7,EST,22,8.952254305081885,43,GRC,2011,6.142857142857143,2
99,PRT,60,13.904791555444875,588,GRC,2012,5.9393939393939394,4
16,ARE,47,12.304301415900593,95,GRC,2011,5.9375,2
28,IRQ,37,9.81091067403879,156,GRC,2013,5.571428571428571,4
26,AFG,40,12.238463955905576,143,GRC,2012,5.5,3
42,NGA,121,19.13895638659392,228,GRC,2011,5.428571428571429,2
66,LAO,44,11.800043459285463,352,GRC,2012,5.333333333333333,1
30,LAO,44,10.776517681205432,152,GRC,2012,5.066666666666666,3
159,CHN,80,12.613935804607701,803,GRC,2011,5.050314465408805,4
1,TTO,5,,5,GRC,2014,5.0,1
2,VUT,5,0.0,10,GRC,2013,5.0,1
16,IRQ,14,3.9953097501945956,75,GRC,2009,4.6875,2
27,GIN,32,6.861262498762388,126,GRC,2014,4.666666666666667,4
5,GMB,7,3.2863353450309964,23,GRC,2011,4.6,1
53,LBN,35,8.217163177286189,241,GRC,2011,4.547169811320755,4
36,NGA,32,8.005305780226053,163,GRC,2013,4.527777777777778,2
2,KHM,8,4.949747468305833,9,GRC,2012,4.5,2
5,ZAF,9,4.219004621945797,22,GRC,2010,4.4,4
3,SVK,6,2.886751345948129,13,GRC,2012,4.333333333333333,4
25,MEX,59,11.71181739384058,105,GRC,2010,4.2,4
17,CHE,29,7.313364076650845,70,GRC,2010,4.117647058823529,2
89,CHE,49,8.413244701939252,366,GRC,2010,4.112359550561798,4
36,LBR,19,5.058389228529334,148,GRC,2014,4.111111111111111,4
13,MDA,21,7.5106761619881075,53,GRC,2010,4.076923076923077,2
1,SAU,4,,4,GRC,2012,4.0,4
37,SLE,32,5.545200559876013,147,GRC,2014,3.972972972972973,4
155,PSE,51,10.158702964226043,613,GRC,2012,3.9548387096774196,1
83,NOR,27,6.51267441261282,323,GRC,2012,3.891566265060241,1
43,SRB,40,8.639834090527977,166,GRC,2012,3.86046511627907,2
6,JOR,10,4.400757510550504,23,GRC,2013,3.8333333333333335,2
5,LAO,15,6.260990336999411,19,GRC,2011,3.8,4
210,CAN,70,10.490283453535493,787,GRC,2011,3.7476190476190476,4
49,ARM,18,5.815838683443406,183,GRC,2014,3.7346938775510203,3
72,GIN,32,5.9991522614470325,266,GRC,2014,3.6944444444444446,1
26,BEL,23,5.548111251726885,96,GRC,2013,3.6923076923076925,4
24,ARG,22,5.975796593554388,88,GRC,2014,3.6666666666666665,1
9,ARE,11,3.840572873934304,33,GRC,2014,3.6666666666666665,3
6,HRV,9,4.131182235954578,22,GRC,2010,3.6666666666666665,4
8,ETH,8,3.6228441865473595,29,GRC,2008,3.625,2
103,MDA,33,6.2059949032678885,372,GRC,2010,3.6116504854368934,1
5,BRN,6,1.9493588689617927,18,GRC,2008,3.6,2
5,SOM,14,5.813776741499453,18,GRC,2013,3.6,3
1269,LUX,82,8.52807650557331,4529,GRC,2012,3.5689519306540585,1
4,MCO,10,4.358898943540674,14,GRC,2009,3.5,1
92,SLE,32,5.168540212787285,320,GRC,2014,3.4782608695652173,1
74,SYR,63,10.537788351428581,255,GRC,2012,3.445945945945946,2
196,BEL,55,7.751261270403113,672,GRC,2012,3.4285714285714284,2
70,CHE,24,6.233549779791837,240,GRC,2011,3.4285714285714284,2
1645,DEU,126,8.713560515625344,5638,GRC,2012,3.427355623100304,2
88,SAU,98,14.522781440662449,300,GRC,2012,3.409090909090909,1
11,ARG,12,4.433344725435352,37,GRC,2012,3.3636363636363638,3
3,SLV,4,1.1547005383792517,10,GRC,2011,3.3333333333333335,3
48,NGA,20,4.567024498068458,159,GRC,2014,3.3125,4
7,VEN,7,2.870208222079931,23,GRC,2010,3.2857142857142856,1
2731,RUS,114,8.661382610003768,8788,GRC,2012,3.217868912486269,1
41,EGY,21,5.278349705140433,131,GRC,2011,3.1951219512195124,2
60,ARM,21,5.69616780683433,190,GRC,2011,3.1666666666666665,4
228,FRA,69,9.811957954269873,720,GRC,2011,3.1578947368421053,4
46,KHM,12,3.374599636299691,143,GRC,2012,3.108695652173913,1
38,SOM,29,5.451453927978869,118,GRC,2012,3.1052631578947367,2
35,MMR,44,7.638689667209474,107,GRC,2012,3.057142857142857,1
202,BEL,47,6.764849518316554,617,GRC,2012,3.0544554455445545,3
25,ARM,47,9.212672431674392,76,GRC,2012,3.04,2
31,AUT,22,5.388159060803247,94,GRC,2010,3.032258064516129,3
1640,CHN,200,13.044084905203276,4964,GRC,2011,3.026829268292683,1
264,GBR,69,9.0742478962115,796,GRC,2011,3.015151515151515,4
5,YEM,6,2.7386127875258306,15,GRC,2011,3.0,3
5,BMU,3,0.0,15,GRC,2011,3.0,4
1,UZB,3,,3,GRC,2005,3.0,2
9,JOR,19,6.0,27,GRC,2012,3.0,2
1,LBN,3,,3,GRC,2005,3.0,4
1,BLR,3,,3,GRC,1999,3.0,3
2,AZE,3,0.0,6,GRC,2003,3.0,3
7,JAM,7,2.7688746209726918,21,GRC,2014,3.0,2
2,MAR,3,0.0,6,GRC,2011,3.0,2
1,SEN,3,,3,GRC,2011,3.0,3
1,MCO,3,,3,GRC,2010,3.0,2
4,HND,5,2.309401076758503,12,GRC,2009,3.0,2
2,PER,4,1.4142135623730951,6,GRC,2009,3.0,4
40,DNK,31,6.621449217776252,118,GRC,2010,2.95,1
78,EGY,35,6.002899177464046,229,GRC,2011,2.9358974358974357,3
74,SYR,17,4.63682920934376,216,GRC,2012,2.918918918918919,3
44,ARM,10,3.123937451493814,128,GRC,2011,2.909090909090909,2
83,HRV,77,11.716794760483799,241,GRC,2012,2.9036144578313254,1
342,DEU,79,9.648818485708835,989,GRC,2011,2.891812865497076,4
121,LBR,19,4.139625753303126,349,GRC,2014,2.884297520661157,1
190,LUX,81,8.403656495545656,548,GRC,2011,2.8842105263157896,3
175,WST,51,7.863102084052861,499,GRC,2012,2.8514285714285714,1
16,AFG,25,5.957837974746655,45,GRC,2012,2.8125,2
26,TGO,32,6.112408564677142,73,GRC,2012,2.8076923076923075,4
1911,EUR,74,5.800103532094147,5304,GRC,2012,2.7755102040816326,2
62,KOR,43,7.5322679728209305,172,GRC,2012,2.774193548387097,1
327,MLT,63,7.185942815704755,902,GRC,2011,2.758409785932722,1
33,PHL,40,7.026869426664619,91,GRC,2012,2.757575757575758,4
4,VAT,7,2.8722813232690143,11,GRC,2009,2.75,2
8,LTU,4,1.3887301496588271,22,GRC,2010,2.75,2
27,DNK,7,2.011363727818528,74,GRC,2012,2.740740740740741,2
36,PSE,21,4.657473938956985,98,GRC,2012,2.7222222222222223,4
344,PSE,42,4.392035665451238,923,GRC,2011,2.683139534883721,4
115,JPN,40,5.412052543940022,308,GRC,2012,2.6782608695652175,2
163,ESP,50,7.181986394921575,435,GRC,2013,2.668711656441718,3
3,CHL,5,2.081665999466133,8,GRC,2010,2.6666666666666665,3
765,EGY,74,7.038847091266137,2038,GRC,2011,2.664052287581699,1
118,SWE,24,4.793550401602316,314,GRC,2012,2.6610169491525424,1
138,JPN,62,7.41028716487173,367,GRC,2012,2.6594202898550723,3
20,AUT,7,2.6212692787233722,53,GRC,2008,2.65,3
277,RUS,107,7.709638351960771,734,GRC,2012,2.6498194945848375,2
70,PSE,47,7.732925490780493,185,GRC,2013,2.642857142857143,1
8774,DEU,95,6.292657306754819,23143,GRC,2012,2.637679507636198,1
8,JAM,5,1.5979898086569353,21,GRC,2013,2.625,4
10,BMU,4,1.2649110640673518,26,GRC,2012,2.6,3
10,ISL,9,3.3730961708462712,26,GRC,2010,2.6,4
146,RUS,40,6.685812925389949,377,GRC,2012,2.5821917808219177,4
19,LBY,8,2.2439001134850556,49,GRC,2010,2.5789473684210527,2
151,NGA,20,3.8219997539514963,387,GRC,2014,2.562913907284768,1
11,BRA,10,3.0451153135353137,28,GRC,2011,2.5454545454545454,4
13,KEN,21,5.547001962252291,33,GRC,2013,2.5384615384615383,4
2219,BEL,76,5.619263116102301,5628,GRC,2012,2.5362776025236595,1
176,IRQ,37,4.189686626225645,445,GRC,2009,2.528409090909091,1
339,RUS,64,5.501133251809311,851,GRC,2012,2.510324483775811,3
57,AUT,15,3.6061594480710752,143,GRC,2012,2.508771929824561,3
686,IRL,67,8.496584705063324,1718,GRC,2012,2.5043731778425657,1
12,AFR,10,3.2891004572955533,30,GRC,2010,2.5,4
2,SAS,4,2.1213203435596424,5,GRC,2009,2.5,1
18,AZE,10,3.3121878321275986,45,GRC,2013,2.5,4
2,ETH,3,0.7071067811865476,5,GRC,2012,2.5,3
2,SDN,3,0.7071067811865476,5,GRC,2011,2.5,1
2,IRQ,3,0.7071067811865476,5,GRC,1999,2.5,4
8,COL,5,2.0701966780270626,20,GRC,2014,2.5,4
76,BEL,30,4.389301187237064,188,GRC,2012,2.473684210526316,4
17,IRQ,10,2.741296387177596,42,GRC,2012,2.4705882352941178,2
260,SYR,66,5.680901889017823,640,GRC,2012,2.4615384615384617,1
441,AUT,43,4.746050447100559,1079,GRC,2012,2.4467120181405897,1
55,NGA,13,2.878809143993761,134,GRC,2013,2.4363636363636365,4
21,SAU,12,3.41425582772335,51,GRC,2012,2.4285714285714284,2
2329,DEU,78,5.49790107780002,5642,GRC,2012,2.4224989265779304,3
2573,LBY,45,4.656828490084892,6213,GRC,2011,2.4146910221531286,1
206,LBY,82,7.577806997527919,496,GRC,2011,2.407766990291262,2
10,BGD,15,4.427188724235732,24,GRC,2012,2.4,1
89,FRA,23,4.222822132413588,213,GRC,2013,2.393258426966292,3
401,CYP,54,5.830422620202978,959,GRC,2012,2.3915211970074814,3
18,SGP,6,1.7536143814113783,43,GRC,2012,2.388888888888889,4
118,SYR,17,3.5395675324358358,281,GRC,2014,2.3813559322033897,4
29,AFG,20,4.499315766261801,69,GRC,2013,2.3793103448275863,2
107,MEX,15,3.4491545709713383,254,GRC,2014,2.3738317757009346,1
120,HRV,17,3.7302608405278237,284,GRC,2010,2.3666666666666667,1
42,IRQ,12,2.639488388817771,99,GRC,2014,2.357142857142857,4
14,LBN,10,2.7902892835178013,33,GRC,2012,2.357142857142857,4
155,ESP,47,7.0754210883672926,365,GRC,2010,2.3548387096774195,2
40,TUN,6,1.7621373967793215,94,GRC,2013,2.35,1
6,MDV,3,1.0327955589886444,14,GRC,2005,2.3333333333333335,1
3,LBR,5,2.3094010767585034,7,GRC,2012,2.3333333333333335,1
9,MYS,3,1.0,21,GRC,2008,2.3333333333333335,1
12,IND,17,4.618802153517006,28,GRC,2013,2.3333333333333335,4
3,AFG,3,1.1547005383792517,7,GRC,2003,2.3333333333333335,3
18,CUB,11,2.786522184076944,42,GRC,2012,2.3333333333333335,1
3,PHL,3,1.1547005383792517,7,GRC,2003,2.3333333333333335,1
188,CHN,75,6.930984237199086,437,GRC,2012,2.324468085106383,2
6927,EUR,102,5.147731722869014,16098,GRC,2012,2.3239497618016456,1
1567,EUR,97,5.204530610344678,3634,GRC,2011,2.3190810465858327,3
155,AFG,32,5.370152893825113,358,GRC,2012,2.3096774193548386,1
10,QAT,4,1.159501808728406,23,GRC,2014,2.3,3
31,SVK,11,3.407771005482389,71,GRC,2009,2.2903225806451615,1
212,ITA,15,3.0875442420281636,485,GRC,2010,2.2877358490566038,4
277,ITA,46,4.173965772308598,633,GRC,2012,2.2851985559566788,3
1089,LUX,41,3.9706822997114393,2488,GRC,2011,2.2846648301193757,1
55,IRQ,27,4.266382566299019,125,GRC,2012,2.272727272727273,4
11,LVA,4,1.4206272622267313,25,GRC,2010,2.272727272727273,2
59,SGP,19,3.722394985779693,134,GRC,2011,2.2711864406779663,1
96,IRN,29,4.198945147400379,218,GRC,2012,2.2708333333333335,4
27,PSE,8,1.654657589319234,61,GRC,2006,2.259259259259259,4
47,CHE,10,2.372561311860748,106,GRC,2013,2.25531914893617,4
541,NLD,57,4.825625755096801,1220,GRC,2012,2.255083179297597,1
212,MEX,32,4.673331257037545,478,GRC,2012,2.2547169811320753,1
138,LUX,30,3.7163312774221255,311,GRC,2012,2.253623188405797,3
112,PAK,34,5.453323641481289,252,GRC,2012,2.25,4
12,PAK,6,1.815338686155987,27,GRC,2009,2.25,3
73,QAT,25,3.98183661531337,164,GRC,2014,2.2465753424657535,1
803,ITA,31,3.1965763642497667,1792,GRC,2013,2.231631382316314,4
178,LBY,36,4.075249934989105,397,GRC,2014,2.230337078651685,4
385,TUR,79,7.349157710079372,858,GRC,2012,2.2285714285714286,4
693,JPN,43,4.232995812802267,1543,GRC,2011,2.2265512265512264,1
9,SEN,3,0.97182531580755,20,GRC,2007,2.2222222222222223,1
18,NLD,9,2.819168745978263,40,GRC,2010,2.2222222222222223,3
262,PRT,24,2.7017521669152185,582,GRC,2012,2.2213740458015265,2
39,WST,14,2.4834132621251994,86,GRC,2012,2.2051282051282053,3
54,DNK,11,2.644892761885218,119,GRC,2009,2.2037037037037037,1
236,IRL,43,4.394502023508413,520,GRC,2010,2.2033898305084745,2
5,LBY,4,1.6431676725154984,11,GRC,2012,2.2,3
3337,FRA,81,5.088264059309403,7339,GRC,2012,2.199280791129757,1
52,BEL,7,1.9905508306374475,114,GRC,2011,2.1923076923076925,4
120,POL,59,7.458902338121598,263,GRC,2014,2.191666666666667,1
455,FRA,40,3.9569902936150063,988,GRC,2012,2.1714285714285713,2
6,IND,5,1.834847859269718,13,GRC,2010,2.1666666666666665,2
141,ITA,57,6.679695981045056,304,GRC,2010,2.1560283687943262,2
13,KOR,6,1.863963243832607,28,GRC,2012,2.1538461538461537,3
14,BRA,3,0.8644378215075664,30,GRC,2007,2.142857142857143,1
38,CHL,16,3.231358618387301,81,GRC,2011,2.1315789473684212,1
267,NLD,21,3.143001781010059,568,GRC,2013,2.1273408239700373,1
8,JPN,9,2.7998724460742337,17,GRC,2014,2.125,3
16,SWE,10,2.247220505424423,34,GRC,2012,2.125,3
16,SAU,9,2.704933763822446,34,GRC,2009,2.125,2
24,LBY,10,2.2324192375478926,51,GRC,2013,2.125,4
17,SLE,6,1.9000773978043786,36,GRC,2013,2.1176470588235294,2
1337,EUR,71,4.482959368496562,2827,GRC,2012,2.1144353029169785,3
3386,FRA,55,4.062465294950926,7159,GRC,2011,2.114294152392203,1
482,ESP,41,4.0372357846180575,1018,GRC,2012,2.112033195020747,2
9,FIN,9,2.619372274250285,19,GRC,2013,2.111111111111111,2
217,GBR,33,3.893585781853971,457,GRC,2010,2.1059907834101383,4
82,VNM,13,2.7406461323059084,171,GRC,2013,2.0853658536585367,1
60,JPN,9,2.211615458856514,125,GRC,2013,2.0833333333333335,4
161,PHL,35,5.3711906911776826,335,GRC,2013,2.080745341614907,1
103,ALB,26,4.675109981695407,214,GRC,2012,2.0776699029126213,4
13,SAU,8,1.84668795692624,27,GRC,2010,2.076923076923077,4
65,IDN,31,4.952514901154146,134,GRC,2011,2.0615384615384613,1
474,ITA,33,3.614986932915723,977,GRC,2011,2.061181434599156,2
346,IRN,30,3.8178998440548852,712,GRC,2014,2.0578034682080926,1
57,YEM,7,2.0994986870303363,117,GRC,2008,2.0526315789473686,1
112,ISR,21,3.828269415564521,229,GRC,2012,2.044642857142857,4
1772,ISR,69,4.448175638505537,3623,GRC,2010,2.044582392776524,1
117,RUS,26,3.623184830659828,239,GRC,2011,2.0427350427350426,4
1452,FRA,103,5.126009495495919,2965,GRC,2010,2.0420110192837466,1
232,CYP,23,3.161448509797606,471,GRC,2010,2.0301724137931036,4
137,PRT,10,1.8823546183977071,278,GRC,2011,2.0291970802919708,4
378,SYR,24,3.1617683474577922,765,GRC,2014,2.0238095238095237,1
403,IRN,59,4.484045351710406,813,GRC,2012,2.0173697270471465,2
408,CAN,45,3.976892080147663,819,GRC,2014,2.0073529411764706,1
306,AUT,27,2.9620478782642508,614,GRC,2011,2.0065359477124183,1
615,AUS,73,6.5408993103422155,1233,GRC,2012,2.004878048780488,1
353,GBR,56,4.728118609813267,707,GRC,2012,2.002832861189802,3
1,UZB,2,,2,GRC,2001,2.0,1
1,LKA,2,,2,GRC,2014,2.0,4
1,MLI,2,,2,GRC,2013,2.0,2
269,BEL,25,2.5392442170909537,538,GRC,2011,2.0,2
1,ZAF,2,,2,GRC,2011,2.0,2
3,LTU,2,0.0,6,GRC,1999,2.0,2
24,SVK,5,1.5603789952109879,48,GRC,2014,2.0,1
1,CYM,2,,2,GRC,2011,2.0,3
1,LBN,2,,2,GRC,2010,2.0,3
3,NMR,2,0.0,6,GRC,1998,2.0,3
1,JOR,2,,2,GRC,2008,2.0,3
22,BRA,8,2.32992949004287,44,GRC,2011,2.0,2
1,KNA,2,,2,GRC,2011,2.0,1
15,OMN,9,2.4784787961282104,30,GRC,2011,2.0,4
2,UZB,2,0.0,4,GRC,1999,2.0,3
1,MCO,2,,2,GRC,1999,2.0,3
4,AUT,2,0.0,8,GRC,2006,2.0,3
4,LBR,2,0.0,8,GRC,2003,2.0,4
257,LUX,27,3.357594004640823,514,GRC,2014,2.0,1
2,MOZ,2,0.0,4,GRC,2009,2.0,1
2,IDN,2,0.0,4,GRC,1998,2.0,1
1,MCO,2,,2,GRC,1999,2.0,1
2,BMU,3,1.4142135623730951,4,GRC,2012,2.0,2
1,ARE,2,,2,GRC,2009,2.0,4
1,LTU,2,,2,GRC,2001,2.0,4
1,ECU,2,,2,GRC,2006,2.0,3
7,LBN,4,1.4142135623730951,14,GRC,2011,2.0,2
2,DZA,3,1.4142135623730951,4,GRC,2013,2.0,2
3,ARM,2,0.0,6,GRC,2003,2.0,4
1,MDA,2,,2,GRC,2000,2.0,3
1,SAS,2,,2,GRC,2012,2.0,3
2,LVA,2,0.0,4,GRC,1998,2.0,1
2,PSE,2,0.0,4,GRC,2004,2.0,2
1,PAN,2,,2,GRC,2012,2.0,3
1,VEN,2,,2,GRC,2012,2.0,3
4,JOR,5,2.0,8,GRC,2012,2.0,3
1,KEN,2,,2,GRC,2011,2.0,4
