Actor1CountryCode,Actor2CountryCode,Year,ECount,AvgQuadClass
AFG,USA,2013,43149,1.9529073674940323
AFR,USA,2013,19876,1.6010263634534112
AGO,USA,2013,913,2.3001095290251916
ALB,USA,2013,742,1.9609164420485174
ARE,USA,2013,3472,1.5120967741935485
ARG,USA,2013,3934,1.6281138790035588
ARM,USA,2013,3574,1.3343592613318411
AUS,USA,2013,23887,1.6359107464311131
AUT,USA,2013,2410,1.5651452282157676
AZE,USA,2013,2982,1.3105298457411134
BEL,USA,2013,5012,1.6652035115722266
BGD,USA,2013,3322,1.703190848886213
BHR,USA,2013,1641,1.5813528336380256
BHS,USA,2013,2821,1.6866359447004609
BLR,USA,2013,700,1.5157142857142858
BLZ,USA,2013,871,1.963260619977038
BMU,USA,2013,657,1.7245053272450532
BOL,USA,2013,4781,1.9341142020497804
BRA,USA,2013,14332,1.7241836449902317
BRN,USA,2013,1026,1.1949317738791423
CAN,USA,2013,46619,1.6358351744996675
CHE,USA,2013,11516,1.4620527961097602
CHL,USA,2013,3504,1.5990296803652968
CHN,USA,2013,61851,1.5658275533136086
CIV,USA,2013,327,1.4831804281345566
COL,USA,2013,5009,1.782790976242763
CRI,USA,2013,1803,1.4342762063227954
CUB,USA,2013,14292,1.568429890848027
CYP,USA,2013,1310,1.4343511450381679
CZE,USA,2013,1606,1.757783312577833
DEU,USA,2013,32920,1.6134264884568652
DJI,USA,2013,271,1.6162361623616237
DNK,USA,2013,2783,1.698886094143011
DOM,USA,2013,2108,1.6712523719165084
DZA,USA,2013,2994,1.8780895123580494
ECU,USA,2013,4766,1.529374737725556
EGY,USA,2013,23964,1.8316641629110333
ESP,USA,2013,12405,1.6899637243047159
EST,USA,2013,506,1.6482213438735178
ETH,USA,2013,1505,1.5322259136212624
EUR,USA,2013,18895,1.5213019317279703
FIN,USA,2013,3142,1.6098026734563973
FJI,USA,2013,384,1.4244791666666667
FRA,USA,2013,33965,1.5878109818931252
FSM,USA,2013,1138,1.633567662565905
GBR,USA,2013,61994,1.6905506984546892
GHA,USA,2013,1847,1.4320519761775852
GMB,USA,2013,262,1.83206106870229
GNB,USA,2013,76,1.7894736842105263
GNQ,USA,2013,108,1.2407407407407407
HND,USA,2013,1603,1.6300686213349969
IRQ,USA,2013,18679,2.123025857915306
JAM,USA,2013,3203,1.7901966906025601
JPN,USA,2013,32430,1.5742213999383288
USA,CAN,2013,48097,1.6881510281306527
USA,CHN,2013,65604,1.591351137125785
USA,VNM,2013,12876,1.6622398260329294
NLD,USA,2013,6720,1.6282738095238096
SAU,USA,2013,11664,1.8321330589849107
SLV,USA,2013,1709,2.304856641310708
SYR,USA,2013,36967,1.8533015933129549
USA,AFG,2013,51791,1.8766581066208414
USA,AUS,2013,21320,1.6573639774859288
USA,FRA,2013,31991,1.5355256165796631
USA,GBR,2013,58733,1.6600037457647319
USA,GHA,2013,1851,1.393841166936791
USA,HND,2013,1843,1.6706456863809007
USA,JAM,2013,3139,1.8378464479133483
USA,JPN,2013,33686,1.5661105503770112
USA,MNG,2013,602,1.430232558139535
USA,NLD,2013,6068,1.6934739617666448
USA,NOR,2013,2937,1.4153898535921008
USA,RUS,2013,75965,1.6529191074837095
USA,SYR,2013,65292,2.0203087667708144
USA,VAT,2013,2281,1.4208680403331873
USA,VEN,2013,7009,1.7506063632472535
USA,CHL,2013,3279,1.7175968283013114
USA,EUR,2013,21556,1.5638801261829653
VAT,USA,2013,2128,1.4013157894736843
VNM,USA,2013,11313,1.7611597277468398
AUS,USA,2014,28296,1.595737913486005
CHN,USA,2014,58297,1.683002555877661
EUR,USA,2014,25730,1.5393315196268946
GBR,USA,2014,60361,1.7096469574725401
GRC,USA,2014,8963,1.7769719959834878
IDN,USA,2014,4460,1.7262331838565022
IRL,USA,2014,10747,1.5824881362240626
IRN,USA,2014,36562,1.7424922050216072
ISR,USA,2014,47909,1.71070153833309
ITA,USA,2014,15639,1.6687767760086962
JPN,USA,2014,30719,1.5122888114847488
KHM,USA,2014,1391,1.826743350107836
KOR,USA,2014,15623,1.612750432055303
MEX,USA,2014,31509,1.8321749341457996
NLD,USA,2014,8078,1.581827184946769
PSE,USA,2014,13941,1.7792841259594003
RUS,USA,2014,69430,1.83160017283595
TWN,USA,2014,3097,1.4675492412011624
USA,EUR,2014,32493,1.6526328747730281
USA,GBR,2014,58651,1.690968610935875
USA,GRC,2014,7784,1.7270041109969168
USA,HND,2014,4749,1.8532322594230364
USA,IRN,2014,41086,1.7060312515211995
USA,ISR,2014,64042,1.7758033790325098
USA,JPN,2014,34226,1.5430082393502016
USA,MEX,2014,35398,1.8592575851743036
USA,NLD,2014,8170,1.5536107711138312
USA,PSE,2014,23078,1.8382008839587487
USA,RUS,2014,93847,2.0022270291005575
USA,KOR,2014,16823,1.556500029721215
USA,IDN,2014,4105,1.689646772228989
USA,SAU,2014,13834,1.4490386005493712
AUT,USA,2014,3019,1.5422325273269295
EGY,USA,2014,14384,1.6848581757508343
FRA,USA,2014,34420,1.5430563625798954
LBR,USA,2014,8159,1.3153572741757569
MMR,USA,2014,2026,1.552319842053307
NPL,USA,2014,1873,1.4335290977042179
SYR,USA,2014,27397,2.0126291199766397
USA,AFR,2014,21618,1.6560273845869182
USA,DNK,2014,2914,1.5360329444063143
USA,EGY,2014,16545,1.6826835902085222
USA,FRA,2014,33081,1.4911580665638886
USA,GUY,2014,2037,1.884634266077565
USA,IRQ,2014,69649,2.0829444787434133
USA,JOR,2014,10991,1.827495223364571
USA,LBR,2014,9147,1.4549032469662184
USA,NZL,2014,4633,1.6153680120872005
USA,SSD,2014,3550,1.9061971830985915
USA,SYR,2014,41858,2.1211954703999236
USA,TUR,2014,18386,1.6600674426193842
USA,UKR,2014,56040,1.7933261955745896
USA,CHN,2014,63593,1.6773387008004026
AFR,USA,2014,18679,1.6549601156378821
BHS,USA,2014,2718,1.7763061074319353
CYP,USA,2014,1449,1.2449965493443755
DEU,USA,2014,29506,1.6481732528977158
GIN,USA,2014,1225,1.3959183673469389
IRQ,USA,2014,42525,1.918941798941799
JOR,USA,2014,11424,1.7593662464985995
USA,CYP,2014,1533,1.395955642530985
USA,AUS,2014,26968,1.6298576090180956
NGA,USA,2014,9408,1.6401998299319729
PHL,USA,2014,15329,1.6143257877226174
THA,USA,2014,4312,1.738404452690167
TUN,USA,2014,1213,1.4633140972794725
USA,AFG,2014,46037,1.907878445598106
USA,BHS,2014,2757,1.6006528835690967
USA,NGA,2014,11587,1.7974454129628032
USA,THA,2014,4353,1.7638410291752815
USA,CAN,2014,42884,1.692519354537823
AFG,USA,2014,38692,2.0223560425927842
AGO,USA,2014,768,1.64453125
AIA,USA,2014,25,1.68
ALB,USA,2014,513,1.719298245614035
ARE,USA,2014,3924,1.4936289500509683
ARG,USA,2014,3948,1.6605876393110435
ARM,USA,2014,3273,1.3687748243201956
ATG,USA,2014,235,1.804255319148936
AZE,USA,2014,2600,1.403076923076923
BEL,USA,2014,4948,1.4941390460792239
BGD,USA,2014,2019,1.8236750866765725
BGR,USA,2014,1264,1.4833860759493671
BLR,USA,2014,596,1.417785234899329
BLZ,USA,2014,854,1.7189695550351287
BMU,USA,2014,864,1.5451388888888888
BOL,USA,2014,1914,2.0078369905956115
BRA,USA,2014,5735,1.5452484742807324
BRB,USA,2014,368,1.4103260869565217
CAN,USA,2014,42284,1.6700879765395895
CHE,USA,2014,8781,1.4808108415897963
CHL,USA,2014,3342,1.6517055655296229
CIV,USA,2014,341,1.5835777126099706
COL,USA,2014,3893,1.7184690470074493
CRI,USA,2014,1173,1.5285592497868712
CUB,USA,2014,12073,1.6773792760705708
CYM,USA,2014,359,1.7075208913649025
CZE,USA,2014,1538,1.5767230169050714
DMA,USA,2014,64,1.484375
DNK,USA,2014,3121,1.6228772829221403
DOM,USA,2014,1799,1.4924958310172318
DZA,USA,2014,1288,1.7437888198757765
ECU,USA,2014,2012,1.6406560636182903
ESP,USA,2014,11149,1.7172840613507938
EST,USA,2014,1565,1.2664536741214059
ETH,USA,2014,1465,1.468259385665529
FIN,USA,2014,2504,1.706070287539936
FJI,USA,2014,483,1.380952380952381
FSM,USA,2014,978,1.5971370143149284
GHA,USA,2014,1974,1.4361702127659575
GMB,USA,2014,215,1.4046511627906977
GRD,USA,2014,570,1.7701754385964912
GTM,USA,2014,4453,1.643835616438356
GUY,USA,2014,1987,1.8626069451434324
HND,USA,2014,4347,1.8576029445594664
HTI,USA,2014,2868,1.417015341701534
HUN,USA,2014,1187,1.4776748104465038
MEA,USA,2014,408,1.2475490196078431
WST,USA,2014,4671,1.5148790408906017
IND,USA,2014,9311,1.7700569219203093
ISL,USA,2014,636,1.5644654088050314
JAM,USA,2014,3524,1.7877412031782065
KAZ,USA,2014,832,1.2908653846153846
KEN,USA,2014,4482,1.7311468094600624
KIR,USA,2014,78,1.2820512820512822
KWT,USA,2014,1768,1.5118778280542986
LAO,USA,2014,374,1.9893048128342246
LBN,USA,2014,6198,1.898999677315263
LBY,USA,2014,9518,2.2974364362260977
LCA,USA,2014,488,1.5758196721311475
LKA,USA,2014,2250,1.775111111111111
LTU,USA,2014,1380,1.2717391304347827
LVA,USA,2014,1137,1.3887423043095866
MCO,USA,2014,2476,1.7851373182552503
MDV,USA,2014,3135,2.2851674641148327
MKD,USA,2014,383,1.5091383812010444
MLT,USA,2014,537,1.51024208566108
USA,ARE,2014,4171,1.4881323423639414
USA,BGD,2014,2357,1.848536274925753
USA,CHL,2014,3217,1.7407522536524713
USA,DEU,2014,27099,1.6109819550536921
USA,MYS,2014,15195,1.6744981901941427
USA,ZAF,2014,2472,1.6945792880258899
USA,CUB,2014,13114,1.704361750800671
USA,IND,2014,9276,1.6757222940922811
USA,KHM,2014,1500,1.888
USA,OMN,2014,495,1.4444444444444444
USA,SGP,2014,2460,1.4833333333333334
MNG,USA,2014,813,1.3099630996309963
MUS,USA,2014,319,1.4827586206896552
MWI,USA,2014,353,1.3626062322946175
MYS,USA,2014,12336,1.5579604409857328
USA,LKA,2014,2547,1.6768747546132705
USA,SAS,2014,482,1.4564315352697095
USA,PAK,2014,13208,1.9689582071471836
NIC,USA,2014,1734,1.6614763552479817
NMR,USA,2014,6146,1.4877969410999023
NOR,USA,2014,3806,1.5622700998423542
NZL,USA,2014,4389,1.536340852130326
OMN,USA,2014,559,1.404293381037567
PAK,USA,2014,12115,1.9512174989682212
PAN,USA,2014,3035,1.7350906095551895
PER,USA,2014,2952,1.687330623306233
PNG,USA,2014,228,1.8464912280701755
POL,USA,2014,7151,1.5466368340092296
PRK,USA,2014,11972,2.314066154360174
PRT,USA,2014,1547,1.5643180349062702
QAT,USA,2014,4725,1.4994708994708994
SAU,USA,2014,13343,1.51367758375178
SEA,USA,2014,1563,1.4772872680742162
SEN,USA,2014,721,1.2302357836338418
SGP,USA,2014,2790,1.4849462365591397
SLB,USA,2014,229,1.2663755458515285
SLE,USA,2014,1671,1.291442250149611
SLV,USA,2014,3593,1.98107431116059
SOM,USA,2014,4195,2.0126340882002385
SSD,USA,2014,1889,1.6193753308628904
SUR,USA,2014,173,1.4219653179190752
SVK,USA,2014,449,1.4610244988864143
SWE,USA,2014,3002,1.5696202531645569
TCD,USA,2014,1924,1.838877338877339
TGO,USA,2014,150,1.3533333333333333
TJK,USA,2014,478,1.399581589958159
TUR,USA,2014,16843,1.680935700290922
TZA,USA,2014,766,1.5783289817232375
UKR,USA,2014,34586,1.6632163303070606
URY,USA,2014,999,1.4004004004004005
USA,AIA,2014,38,1.8157894736842106
USA,ALB,2014,479,1.7661795407098122
USA,ARG,2014,3453,1.6623226180133217
USA,ARM,2014,4327,1.4044372544488097
USA,ATG,2014,217,1.5806451612903225
