Source,Target,Year,QuadClass,ECount,NSources,MaxSources,AvgSources,StdDevSources
AFG,USA,2016,1,2337,6044,288,2.586221651690201,11.64814635469983
AFG,USA,2017,1,2653,8241,252,3.1062947606483227,11.890653529412178
AFG,DEU,2015,1,219,2611,249,11.922374429223744,38.43651267041313
AFG,PAK,2016,2,398,1905,243,4.78643216080402,22.12369888210073
AFG,PAK,2016,3,1224,3041,191,2.4844771241830066,9.858346885968661
AFG,USA,2015,1,3795,12891,191,3.3968379446640315,10.99118305356902
AFG,JPN,2015,1,37,256,178,6.918918918918919,29.330850632035872
AFG,BDI,2017,1,8,436,164,54.5,71.15576474989821
AFG,PAK,2015,2,315,1056,164,3.3523809523809525,15.220239386690704
AFG,WST,2011,3,213,615,163,2.887323943661972,11.623677805646162
AFG,USA,2017,2,202,685,158,3.391089108910891,13.308827721679826
AFG,GBR,2017,3,36,397,156,11.027777777777779,36.106577248957294
AFG,DEU,2017,1,176,937,155,5.323863636363637,21.56803716782608
AFG,PAK,2017,1,3221,5794,148,1.7988202421608197,5.131913168520087
AFG,PAK,2016,1,5087,9110,128,1.7908393945350893,4.17229814231877
AFG,WST,2010,1,502,1673,128,3.3326693227091635,12.35708272446602
AFG,CAN,2017,2,13,316,127,24.307692307692307,45.080270287907204
AFG,CAN,2017,4,10,311,127,31.1,49.87417501406247
AFG,CHN,2017,1,485,838,126,1.7278350515463918,6.465751192640535
AFG,EUR,2015,1,107,338,125,3.1588785046728973,15.149661888443454
AFG,USA,2012,1,5398,16329,123,3.0250092626898852,8.163667932118443
AFG,PAK,2015,1,6017,13730,122,2.28186804055177,6.7751937217537375
AFG,USA,2011,1,3004,9359,120,3.1155126498002663,9.28031149918926
AFG,AUS,2017,1,360,1779,120,4.941666666666666,13.935163734267192
AFG,DEU,2017,3,22,518,119,23.545454545454547,41.69130007764812
AFG,CAN,2017,1,68,320,118,4.705882352941177,14.644094957363562
AFG,WST,2015,1,277,1002,116,3.6173285198555956,13.02136438774736
AFG,USA,2014,1,4224,9146,116,2.165246212121212,4.4817269995920865
AFG,CAN,2012,1,53,319,114,6.018867924528302,21.676370124416177
