Source,Target,Year,QuadClass,ECount,NSources,MaxSources,AvgSources,StdDevSources
AUS,USA,2017,1,2440,7620,280,3.122950819672131,10.450475069271828
AUS,CHN,2017,1,744,2892,197,3.8870967741935485,12.43981560501276
AUS,SYR,2017,3,77,695,190,9.025974025974026,31.893727326682754
AUS,USA,2015,1,1641,5886,171,3.586837294332724,13.222575753776741
AUS,GBR,2017,1,575,1789,165,3.111304347826087,11.129024466589282
AUS,PNG,2017,1,215,762,156,3.5441860465116277,15.155167872255754
AUS,CHN,2016,1,1225,4439,148,3.623673469387755,12.668650304862211
AUS,TUR,2016,1,137,1641,146,11.978102189781023,27.228463468260962
AUS,TUR,2016,4,52,404,143,7.769230769230769,25.59229003431704
AUS,GBR,2015,1,479,1900,138,3.9665970772442587,13.306765633227647
AUS,EGY,2016,1,24,196,136,8.166666666666666,27.43952507300161
AUS,IRQ,2016,1,223,1442,134,6.466367713004484,23.71693979297197
AUS,SYR,2016,1,145,1388,134,9.572413793103449,29.35504519091939
AUS,GBR,2016,1,681,3023,133,4.439060205580029,16.58027358208134
AUS,USA,2016,1,1996,4770,133,2.3897795591182365,8.18412031404659
AUS,PAK,2015,3,20,201,131,10.05,29.170054941037698
AUS,PAK,2015,1,91,271,131,2.978021978021978,13.779193672569459
AUS,BHS,2016,3,8,270,130,33.75,59.40839286546256
AUS,IDN,2016,1,501,2156,130,4.303393213572854,15.08773569701809
AUS,FRA,2015,1,397,3188,130,8.03022670025189,22.734503950998633
AUS,NRU,2015,1,108,538,130,4.981481481481482,19.49549743439769
AUS,PNG,2016,1,248,615,130,2.4798387096774195,8.867421881476178
AUS,PAK,2015,2,9,144,129,16.0,42.40577790820492
AUS,ITA,2015,3,4,260,129,65.0,73.9008344562721
AUS,USA,2015,3,190,465,128,2.4473684210526314,9.83379705234567
AUS,IRQ,2016,3,40,441,128,11.025,32.23430844652388
AUS,IDN,2017,1,482,1112,128,2.3070539419087135,8.297052054770962
AUS,GBR,2016,3,62,366,127,5.903225806451613,22.282618144885905
AUS,AFG,2015,1,86,365,126,4.244186046511628,18.917117083251615
AUS,PHL,2015,1,228,1195,126,5.241228070175438,17.41660209228961
AUS,TMP,2015,1,52,591,125,11.365384615384615,33.242442069606305
AUS,IDN,2015,1,1764,10624,125,6.022675736961451,16.54401806492518
AUS,TMP,2015,3,9,147,125,16.333333333333332,40.77683165720457
AUS,IDN,2015,3,400,1908,125,4.77,15.202957765251803
AUS,PHL,2016,2,34,164,124,4.823529411764706,21.077735759363076
AUS,GHA,2017,2,21,149,123,7.095238095238095,26.566717452302537
AUS,PRK,2016,1,26,277,121,10.653846153846153,32.49854434609933
AUS,IDN,2015,4,363,1954,121,5.3829201101928374,15.888577336940607
AUS,IRN,2016,2,18,140,121,7.777777777777778,28.25837836310531
AUS,TMP,2016,3,59,328,120,5.559322033898305,21.64945741650328
AUS,MEX,2017,1,72,232,120,3.2222222222222223,14.133390911389492
AUS,ZAF,2016,1,48,340,120,7.083333333333333,23.273428674552953
AUS,MYS,2015,1,382,1269,119,3.3219895287958114,9.906570804912818
AUS,USA,2016,4,155,437,119,2.8193548387096774,11.92316906782862
AUS,USA,2017,3,295,815,116,2.76271186440678,10.012813190853347
AUS,CHN,2015,1,860,1887,114,2.194186046511628,5.5436222183204205
AUS,FRA,2015,3,60,547,113,9.116666666666667,20.251881408031494
AUS,NRU,2016,1,233,588,113,2.523605150214592,9.173171191332392
AUS,IRQ,2016,2,78,212,112,2.717948717948718,12.624339957952628
AUS,SYR,2016,2,34,176,112,5.176470588235294,18.966430612956103
AUS,SYR,2016,3,32,177,112,5.53125,19.55634436285856
AUS,SGP,2015,1,158,530,111,3.3544303797468356,14.422238644116975
AUS,IDN,2016,3,75,212,111,2.8266666666666667,12.716634491593789
AUS,SGP,2014,1,104,242,109,2.326923076923077,10.598994555440552
AUS,NPL,2015,1,51,415,109,8.137254901960784,25.53900515512939
AUS,AFR,2017,1,49,601,109,12.26530612244898,31.666738274176105
AUS,SYR,2015,1,313,1850,108,5.9105431309904155,15.224336877444264
AUS,RUS,2017,4,8,129,108,16.125,37.31119135058542
AUS,NLD,2015,1,62,387,107,6.241935483870968,20.02431758021098
AUS,ZAF,2015,3,7,113,105,16.142857142857142,39.189405759841826
AUS,BFA,2016,2,22,238,104,10.818181818181818,29.403006590088648
AUS,MDA,2016,1,19,231,104,12.157894736842104,32.02995673826255
AUS,FRA,2017,3,39,362,104,9.282051282051283,21.80288334136797
AUS,AFG,2017,1,115,451,103,3.9217391304347826,13.77204632967769
AUS,ALB,2016,1,31,503,102,16.225806451612904,29.909541038960967
AUS,JPN,2015,1,363,673,102,1.8539944903581267,5.589369771446374
AUS,IRN,2015,1,242,772,99,3.190082644628099,11.452455606210778
AUS,HRV,2015,2,3,124,98,41.333333333333336,50.292477900112786
AUS,THA,2015,3,21,498,95,23.714285714285715,32.34214411127199
AUS,IDN,2016,4,92,330,95,3.5869565217391304,10.661785692459542
AUS,SRB,2016,1,32,404,95,12.625,29.294665373662124
AUS,MKD,2016,1,24,392,95,16.333333333333332,33.15401040292262
AUS,USA,2012,1,1019,2508,94,2.461236506378803,5.900219672411623
AUS,THA,2015,1,133,772,93,5.804511278195489,14.483772867035958
AUS,GHA,2017,3,18,140,93,7.777777777777778,21.39971290504386
AUS,RUS,2017,1,100,360,92,3.6,11.285997402699389
AUS,GBR,2015,4,44,174,92,3.9545454545454546,13.852973059213001
AUS,MMR,2017,3,5,98,91,19.6,39.93494710150497
AUS,MMR,2017,1,16,112,91,7.0,22.417255258691537
AUS,VNM,2015,1,147,499,91,3.3945578231292517,11.24421179749724
AUS,USA,2012,3,154,564,90,3.6623376623376624,11.176668496588086
AUS,NPL,2015,2,15,363,90,24.2,39.217707370887595
AUS,NRU,2015,3,22,294,89,13.363636363636363,27.128522074685712
AUS,PHL,2016,1,150,363,88,2.42,9.338719283303735
AUS,SAU,2016,3,58,248,84,4.275862068965517,15.309431909256135
AUS,IRN,2016,1,287,610,83,2.1254355400696863,6.842249538215338
AUS,KHM,2016,2,20,115,82,5.75,17.99963449921312
AUS,NRU,2016,3,43,141,81,3.2790697674418605,12.1935298639334
AUS,USA,2016,2,192,413,81,2.1510416666666665,6.563671153703664
AUS,KHM,2015,2,27,206,80,7.62962962962963,20.901137525444636
AUS,ISR,2016,2,19,104,79,5.473684210526316,17.815001235078487
AUS,NZL,2015,1,893,2229,78,2.4960806270996643,5.740974226533786
AUS,GHA,2016,1,102,279,77,2.735294117647059,8.15921573423493
AUS,CHN,2016,3,266,769,77,2.8909774436090228,7.560033529391719
AUS,USA,2012,2,156,395,76,2.532051282051282,7.019254506684541
AUS,IRQ,2015,4,44,263,76,5.9772727272727275,15.82680774988428
AUS,SGP,2015,4,20,196,76,9.8,20.664233020264493
AUS,DNK,2011,3,7,167,75,23.857142857142858,34.940084771069515
AUS,JPN,2016,1,259,879,75,3.393822393822394,10.280151364491719
AUS,IDN,2015,2,140,555,75,3.9642857142857144,11.129331725938512
AUS,LBN,2016,1,189,582,75,3.0793650793650795,9.76582445338365
AUS,IDN,2017,3,67,261,74,3.8955223880597014,12.39517786046949
AUS,AFR,2016,2,45,263,74,5.844444444444444,16.025484754482832
AUS,IRQ,2016,4,42,164,73,3.9047619047619047,11.181015102503698
AUS,GRC,2015,1,83,599,73,7.216867469879518,15.732557660958767
AUS,IRQ,2015,2,57,145,72,2.543859649122807,9.420854858539334
AUS,MYS,2015,2,83,363,71,4.373493975903615,10.935186932696306
AUS,LKA,2017,1,168,377,71,2.244047619047619,7.542690496491457
AUS,LKA,2015,2,39,111,70,2.8461538461538463,11.039494795692852
AUS,PHL,2017,1,322,748,70,2.3229813664596275,7.745244735054035
AUS,LKA,2015,4,8,77,70,9.625,24.39518395093589
AUS,LKA,2015,1,88,175,70,1.9886363636363635,7.414639632358606
AUS,SOM,2011,1,41,199,66,4.853658536585366,10.971693068095178
AUS,DEU,2015,1,147,491,66,3.3401360544217686,9.13783089173902
AUS,USA,2017,2,191,343,66,1.7958115183246073,4.886628721217167
AUS,BEL,2015,1,13,82,66,6.3076923076923075,17.950787426482695
AUS,CHN,2016,4,71,269,65,3.788732394366197,9.078885225711906
AUS,EGY,2015,4,19,232,65,12.210526315789474,19.219720622805976
AUS,ESP,2017,4,11,134,64,12.181818181818182,23.527933108618708
AUS,NRU,2017,4,23,234,64,10.173913043478262,20.186971887633245
AUS,RUS,2014,3,255,827,62,3.243137254901961,6.690257780833286
AUS,IRN,2017,1,50,135,60,2.7,8.374524049832592
AUS,PNG,2015,4,13,132,60,10.153846153846153,22.124067414794208
AUS,NRU,2015,4,16,196,60,12.25,23.69388106663828
AUS,EUR,2015,1,93,170,59,1.8279569892473118,6.01560227913537
AUS,FRA,2016,1,282,437,58,1.549645390070922,3.5502518403673915
AUS,MYS,2014,4,54,146,58,2.7037037037037037,7.827454415551278
