Source,Target,Year,QuadClass,ECount,NSources,MaxSources,AvgSources,StdDevSources
BRA,FRA,2015,1,103,1570,196,15.242718446601941,41.58442063557482
BRA,PRT,2017,1,71,345,193,4.859154929577465,22.81559352388367
BRA,GRC,2016,1,67,717,156,10.701492537313433,30.606007988813356
BRA,RUS,2017,1,159,553,151,3.4779874213836477,16.89424906943466
BRA,RUS,2017,4,11,359,151,32.63636363636363,59.13251681988976
BRA,USA,2016,1,1276,3394,147,2.6598746081504703,8.302533777198345
BRA,FRA,2016,1,159,829,147,5.213836477987422,15.317469459128006
BRA,JPN,2016,2,16,284,140,17.75,40.02082791080998
BRA,PRT,2016,2,6,130,117,21.666666666666668,46.783187863447985
BRA,DEU,2017,1,38,476,108,12.526315789473685,29.420287945846155
BRA,VEN,2017,4,34,308,105,9.058823529411764,20.294709232122525
BRA,PRY,2017,1,65,1236,94,19.015384615384615,29.181271984191934
BRA,URY,2017,1,58,1186,94,20.448275862068964,30.437265025595764
BRA,ARG,2017,1,137,1408,94,10.277372262773723,23.29312254186002
BRA,VEN,2017,1,175,954,90,5.451428571428571,14.054765041125659
BRA,USA,2015,1,1061,3293,90,3.103675777568332,8.705159805002417
BRA,HTI,2016,1,27,334,89,12.37037037037037,21.537352433796265
BRA,ARG,2015,1,91,195,87,2.142857142857143,9.014274394378221
BRA,AUS,2015,4,13,190,86,14.615384615384615,30.62825074322305
BRA,AFR,2011,1,116,542,85,4.672413793103448,15.004217298201
BRA,USA,2016,2,158,606,84,3.8354430379746836,10.405082515730236
BRA,USA,2013,1,1965,4769,82,2.426972010178117,5.212333138154755
BRA,USA,2017,3,65,211,72,3.246153846153846,11.111692559572623
BRA,NLD,2015,1,39,232,68,5.948717948717949,11.670810908435573
BRA,ZAF,2017,1,77,412,64,5.35064935064935,14.606925388651705
BRA,USA,2017,1,421,917,61,2.178147268408551,6.295432765272766
BRA,IRN,2010,1,772,1511,59,1.9572538860103628,5.0762780080837295
BRA,USA,2012,1,650,1244,57,1.9138461538461538,4.489188413412574
BRA,ARG,2015,4,9,108,54,12.0,21.639085008382402
BRA,CHE,2010,1,127,344,52,2.7086614173228347,5.886641099308756
BRA,USA,2013,4,427,863,50,2.021077283372365,4.219563842926149
BRA,USA,2017,4,81,239,50,2.950617283950617,7.355102369389399
BRA,CHN,2011,1,342,593,49,1.7339181286549707,3.2845441618356563
BRA,LKA,2012,1,31,162,44,5.225806451612903,12.795076337975622
BRA,VEN,2012,1,65,143,42,2.2,5.365398400864564
BRA,TUN,2012,1,11,57,42,5.181818181818182,12.237795404550459
BRA,USA,2011,1,669,1344,41,2.008968609865471,3.6587083770825664
BRA,CUB,2012,1,320,679,38,2.121875,3.795000371714949
BRA,USA,2012,3,39,110,38,2.8205128205128207,6.103802933942924
BRA,CHE,2009,1,60,197,36,3.283333333333333,6.864528491632137
BRA,CHE,2009,2,12,144,36,12.0,12.195379154715637
BRA,DEU,2009,1,45,179,36,3.977777777777778,7.785443552754802
BRA,SWE,2009,1,34,166,36,4.882352941176471,8.834384291565073
BRA,KOR,2009,1,13,144,36,11.076923076923077,12.051704848011742
BRA,ARG,2013,1,176,367,35,2.085227272727273,3.4572669560210145
BRA,USA,2013,2,332,675,35,2.033132530120482,3.6478837726326314
BRA,USA,2013,3,401,836,35,2.084788029925187,3.1068944329436685
BRA,HND,2009,1,848,1593,34,1.8785377358490567,2.4063300491703306
BRA,PRT,2012,1,17,85,33,5.0,10.547511554864494
BRA,AFR,2016,1,59,140,33,2.3728813559322033,4.697388508099549
BRA,VEN,2013,1,115,210,32,1.826086956521739,3.4111809694601845
BRA,CHE,2017,3,13,75,31,5.769230769230769,11.203822607737104
BRA,ISR,2010,1,294,363,30,1.2346938775510203,2.395107443740544
BRA,PSE,2010,1,112,224,30,2.0,4.524209153926072
BRA,VEN,2015,4,11,72,30,6.545454545454546,10.745823713086274
BRA,CUB,2015,1,35,157,29,4.485714285714286,8.603595105506521
BRA,FRA,2015,4,24,116,29,4.833333333333333,8.186238009832305
BRA,CUB,2010,1,204,307,28,1.5049019607843137,2.092674412620729
BRA,IDN,2015,3,85,186,28,2.1882352941176473,3.4863479242237854
BRA,USA,2015,2,84,175,28,2.0833333333333335,3.478707464345049
BRA,HTI,2012,1,60,99,27,1.65,3.492485880732897
BRA,SLV,2016,4,28,108,25,3.857142857142857,7.158079018709924
BRA,COL,2012,1,40,111,25,2.775,4.047712237668873
BRA,AGO,2012,1,30,56,25,1.8666666666666667,4.376530930829319
BRA,KOR,2013,1,34,122,25,3.588235294117647,5.852311882256569
BRA,AGO,2012,2,5,30,25,6.0,10.63014581273465
BRA,PHL,2015,4,21,111,24,5.285714285714286,7.950741205339646
BRA,LBY,2011,3,20,49,24,2.45,5.124502543251342
BRA,USA,2016,3,185,262,24,1.4162162162162162,1.9876676185147581
BRA,USA,2010,4,43,77,23,1.7906976744186047,3.5088876241344615
BRA,COL,2010,3,33,92,23,2.787878787878788,5.0544384935270985
BRA,VEN,2017,3,32,86,22,2.6875,4.568034093991743
BRA,USA,2011,2,38,61,22,1.605263157894737,3.4053969382811498
BRA,PAN,2016,4,9,56,22,6.222222222222222,8.96908269804914
BRA,ESP,2015,2,14,55,22,3.9285714285714284,6.696316848884866
BRA,GBR,2017,1,74,112,22,1.5135135135135136,2.4841593668862827
BRA,RUS,2016,1,182,277,22,1.521978021978022,2.1094526638326747
BRA,GBR,2013,1,135,241,21,1.7851851851851852,2.7735025142937593
BRA,CAN,2016,2,10,40,21,4.0,6.289320754704403
BRA,NOR,2017,1,40,86,21,2.15,4.394343683675232
BRA,ITA,2016,1,12,32,21,2.6666666666666665,5.773502691896256
BRA,JOR,2016,1,10,42,21,4.2,6.828046735503663
BRA,PRT,2009,1,25,67,21,2.68,5.375251932080332
BRA,VEN,2014,1,90,142,20,1.5777777777777777,2.832308693333424
BRA,ECU,2014,1,71,121,20,1.704225352112676,3.1775748443346052
BRA,CHE,2010,4,23,69,20,3.0,3.9312269655344823
BRA,BOL,2014,1,35,83,20,2.3714285714285714,4.452928410447605
BRA,CUB,2014,3,7,36,19,5.142857142857143,6.9144431308330105
BRA,AUS,2015,1,48,85,19,1.7708333333333333,2.738531858056183
BRA,RUS,2014,1,116,197,19,1.6982758620689655,2.8075049346387595
BRA,ESP,2012,1,29,52,19,1.793103448275862,3.342147623746781
BRA,HTI,2015,1,38,112,19,2.9473684210526314,5.056156901971516
BRA,MEX,2012,1,39,69,19,1.7692307692307692,3.0040458548390556
BRA,EUR,2016,1,76,140,19,1.8421052631578947,3.4643041882565573
BRA,EGY,2012,1,13,46,18,3.5384615384615383,5.316881677189251
BRA,HND,2009,3,219,397,18,1.812785388127854,2.3080674239603542
BRA,USA,2012,4,21,47,18,2.238095238095238,3.767024846012592
BRA,YEM,2016,1,9,63,18,7.0,7.533259586659682
BRA,JOR,2016,4,3,30,18,10.0,8.54400374531753
BRA,SLV,2016,2,12,67,17,5.583333333333333,6.748175960056079
BRA,PRT,2016,1,46,113,17,2.4565217391304346,3.4429091170703
BRA,ARG,2017,2,12,29,17,2.4166666666666665,4.601547829181222
BRA,VEN,2011,1,149,209,17,1.4026845637583893,1.5374578134719854
BRA,IDN,2015,4,52,97,17,1.8653846153846154,2.8562202237953382
BRA,IDN,2015,1,121,228,17,1.884297520661157,2.2404987638344727
BRA,HTI,2017,1,35,66,17,1.8857142857142857,2.9879309048967264
BRA,ZAF,2015,1,45,93,17,2.066666666666667,3.2291287876566224
BRA,ITA,2013,1,43,108,16,2.511627906976744,3.432145608405607
BRA,ITA,2017,1,42,76,16,1.8095238095238095,2.3914287518195136
BRA,PER,2016,1,57,143,16,2.508771929824561,3.723107414788773
BRA,JPN,2009,1,35,103,16,2.942857142857143,3.7568984168174833
BRA,USA,2014,1,601,868,16,1.4442595673876872,1.417969613865478
BRA,USA,2010,2,33,76,16,2.303030303030303,3.4322446052551427
BRA,USA,2016,4,161,346,16,2.1490683229813663,2.900886028707919
BRA,GBR,2013,3,50,152,16,3.04,3.795593578380712
BRA,ECU,2016,4,28,61,15,2.1785714285714284,3.528230817054448
BRA,USA,2009,1,1257,1899,15,1.5107398568019093,1.4640340536127832
BRA,JPN,2016,1,55,109,15,1.981818181818182,3.205844830530804
BRA,USA,2012,2,29,54,15,1.8620689655172413,2.6955537190374725
BRA,CUB,2014,1,97,137,15,1.4123711340206186,1.5326486966984343
BRA,ECU,2011,1,23,51,15,2.217391304347826,4.033456917280426
BRA,CUB,2009,1,55,78,15,1.4181818181818182,2.0155957587339444
BRA,HND,2009,2,265,479,14,1.8075471698113208,1.7550629204601633
BRA,ITA,2017,3,18,78,14,4.333333333333333,4.715431487960255
BRA,HTI,2010,1,151,259,14,1.7152317880794703,2.0408412756955854
BRA,BOL,2013,1,101,237,14,2.3465346534653464,2.9713150070780325
BRA,ARG,2009,1,110,151,14,1.3727272727272728,1.5672045521959432
BRA,JPN,2015,1,26,56,14,2.1538461538461537,3.506477522441091
BRA,IDN,2015,2,8,47,14,5.875,6.468329437674439
BRA,IRN,2009,1,279,361,14,1.2939068100358424,1.3436496545461876
BRA,GBR,2015,1,37,63,14,1.7027027027027026,2.246786159839883
BRA,USA,2009,3,157,289,14,1.8407643312101911,1.969347002734947
BRA,HTI,2009,1,11,39,13,3.5454545454545454,4.740540820700447
BRA,PRY,2015,1,61,126,13,2.0655737704918034,2.5486522743011735
BRA,GRC,2017,1,96,168,13,1.75,1.9788353831696588
BRA,FRA,2017,1,51,143,13,2.803921568627451,3.212597751621807
BRA,ESP,2009,1,40,74,13,1.85,2.178566924873745
BRA,USA,2010,1,380,503,13,1.3236842105263158,1.126775165986574
BRA,CHN,2016,1,281,443,13,1.5765124555160142,1.5383258318779145
BRA,BOL,2013,4,16,58,13,3.625,4.16132991562393
BRA,USA,2014,4,52,84,13,1.6153846153846154,1.8906772949089334
BRA,URY,2013,1,125,272,13,2.176,2.6912762292145858
BRA,CUB,2011,1,122,167,13,1.3688524590163935,1.5756453206222714
BRA,BOL,2013,2,147,245,13,1.6666666666666667,1.8332295528949198
BRA,VEN,2015,1,141,251,13,1.7801418439716312,2.164955290140654
BRA,FRA,2010,2,4,16,13,4.0,6.0
BRA,ITA,2015,3,18,42,12,2.3333333333333335,2.5667557916789914
BRA,FRA,2009,2,27,54,12,2.0,2.4651415936864716
BRA,MEX,2013,1,44,102,12,2.3181818181818183,3.138454124526079
BRA,CAN,2013,3,74,161,12,2.175675675675676,2.348757223748881
BRA,LBY,2011,4,17,44,12,2.588235294117647,3.5717436835775986
BRA,GBR,2013,2,18,50,12,2.7777777777777777,2.9216344248413937
BRA,VEN,2016,4,47,86,12,1.8297872340425532,2.296681433268542
BRA,CAN,2013,1,117,261,12,2.230769230769231,2.19868540419754
BRA,BGD,2016,1,25,65,11,2.6,3.7416573867739413
BRA,ARG,2014,1,78,107,11,1.3717948717948718,1.6044497730558827
BRA,COL,2010,1,109,156,11,1.4311926605504588,1.717917411011584
BRA,HND,2010,2,52,86,11,1.6538461538461537,1.6672698757586815
BRA,ESP,2017,1,32,53,11,1.65625,1.877015046255881
BRA,MMR,2016,1,5,17,11,3.4,4.277849927241488
BRA,PRT,2016,3,20,35,11,1.75,2.2213082915965963
BRA,PRY,2010,1,49,71,11,1.4489795918367347,1.9046130894247688
BRA,ECU,2009,1,143,272,11,1.902097902097902,2.1601861073797997
BRA,CHE,2015,4,4,16,11,4.0,4.760952285695234
BRA,VEN,2009,1,312,494,11,1.5833333333333333,1.8581819878868648
BRA,PRY,2009,1,74,161,11,2.175675675675676,2.839824942068085
BRA,FRA,2009,1,221,311,11,1.407239819004525,1.1547302248687445
BRA,CPV,2015,4,4,26,11,6.5,5.196152422706632
BRA,BOL,2009,1,81,179,11,2.2098765432098766,2.718989009644559
BRA,IND,2011,1,40,88,11,2.2,2.1626194942529944
BRA,IRN,2012,1,43,60,11,1.3953488372093024,1.6056379074065847
BRA,PAN,2015,1,30,69,10,2.3,3.0866788311867746
BRA,IRN,2010,3,63,102,10,1.619047619047619,1.6306398054491398
BRA,SYR,2016,1,32,62,10,1.9375,2.5770388107783835
BRA,USA,2015,3,61,89,10,1.459016393442623,1.6590536508484115
BRA,CHN,2017,1,256,396,10,1.546875,1.410656223320252
BRA,HND,2010,1,149,220,10,1.476510067114094,1.1600552911883917
BRA,RUS,2015,3,9,18,10,2.0,3.0000000000000004
BRA,PER,2015,4,2,20,10,10.0,0.0
BRA,ISR,2015,3,51,80,10,1.5686274509803921,1.7234256811453672
BRA,URY,2013,4,5,22,10,4.4,4.669047011971501
BRA,GNB,2015,1,8,30,10,3.75,3.955105199973465
BRA,CHN,2013,1,111,140,10,1.2612612612612613,0.9973757540457834
BRA,QAT,2009,1,18,30,10,1.6666666666666667,2.1143765594836976
BRA,AUS,2012,1,15,31,9,2.066666666666667,2.4630604269214893
BRA,PRT,2011,1,67,129,9,1.9253731343283582,2.0620189638182493
BRA,SGP,2016,1,7,30,9,4.285714285714286,3.2513733362117265
BRA,DEU,2014,1,39,88,9,2.2564102564102564,2.917442541877251
BRA,LBY,2009,1,73,134,9,1.8356164383561644,1.8560239658873618
BRA,FRA,2012,1,40,84,9,2.1,2.1459562449239744
BRA,ZAF,2016,1,35,48,9,1.3714285714285714,1.3738249371674665
BRA,IND,2012,1,66,123,9,1.8636363636363635,1.8303960364767107
BRA,IRN,2010,4,50,66,9,1.32,1.1856282240712246
