Source,Target,Year,QuadClass,ECount,NSources,MaxSources,AvgSources,StdDevSources
CHN,CUB,2017,3,17,735,354,43.23529411764706,116.9789133838684
CHN,USA,2016,1,11223,32300,271,2.8780183551635035,10.355781160834635
CHN,USA,2017,1,11041,36137,255,3.2729825196993025,11.611242173362873
CHN,PRK,2017,1,4573,17768,254,3.8854143888038486,13.130177661731697
CHN,AUS,2016,2,176,1994,252,11.329545454545455,33.622856712458166
CHN,USA,2015,1,15020,47710,232,3.176431424766977,10.74792264499484
CHN,KOR,2017,1,1440,2853,215,1.98125,7.717857137688945
CHN,PHL,2017,1,1630,3478,208,2.1337423312883437,9.271660358436192
CHN,TWN,2015,1,3707,12195,203,3.289722147288913,10.305019478260672
CHN,USA,2011,1,7260,18444,200,2.540495867768595,7.388246197361751
CHN,USA,2017,2,521,1097,197,2.105566218809981,8.981090590145223
CHN,TWN,2016,3,446,1011,196,2.266816143497758,11.293952729989813
CHN,DEU,2017,1,2213,6666,188,3.012200632625395,10.914236405786344
CHN,CHE,2017,1,1259,3574,186,2.8387609213661635,8.786021401770354
CHN,KOR,2016,1,1880,5153,180,2.7409574468085105,10.219643355430026
CHN,SGP,2015,1,1508,5386,180,3.5716180371352784,13.02876367813729
CHN,RUS,2017,1,2891,11187,175,3.869595295745417,14.729156141205289
CHN,JPN,2017,1,1738,6562,171,3.7756041426927505,13.944426371739862
CHN,PER,2016,1,1034,3258,169,3.150870406189555,13.196572651085104
CHN,RUS,2016,1,2703,4587,168,1.6970033296337403,4.997884294309738
CHN,JPN,2015,1,3648,8388,168,2.299342105263158,6.533101440249173
CHN,FRA,2015,1,1491,4807,166,3.2240107310529846,12.049650651201151
CHN,KOR,2010,1,1782,6548,165,3.674523007856341,12.753641647139373
CHN,CHL,2016,1,475,941,162,1.9810526315789474,7.598693740963248
CHN,PRK,2017,3,1096,5483,160,5.002737226277373,15.612867652560384
CHN,SYR,2012,1,1173,4687,150,3.9957374254049447,11.437804013644632
CHN,KOR,2016,3,364,1631,150,4.480769230769231,14.344719551841328
CHN,FRA,2017,1,725,2068,149,2.852413793103448,9.204341417695844
CHN,AUS,2016,1,949,4140,148,4.362486828240253,15.586674246365908
CHN,GBR,2015,1,5797,16002,142,2.7603933068828703,9.74419352772401
CHN,RUS,2017,3,124,693,142,5.588709677419355,22.001482616994743
CHN,PRK,2017,4,418,2264,140,5.416267942583732,16.82506761314876
CHN,MYS,2017,2,95,392,139,4.126315789473685,15.425346718585546
CHN,ECU,2016,1,647,1203,138,1.8593508500772797,5.71432951509223
CHN,KOR,2015,1,2478,5177,137,2.089184826472962,5.171241637168353
