Source,Target,Year,QuadClass,ECount,NSources,MaxSources,AvgSources,StdDevSources
FRA,BEL,2017,1,348,3010,417,8.649425287356323,35.60984668915256
FRA,SYR,2015,1,1203,4561,342,3.791354945968412,19.66221894022754
FRA,DEU,2015,1,4644,17758,304,3.8238587424633934,12.719982604247773
FRA,USA,2015,1,5827,25010,300,4.292088553286425,17.847529401770128
FRA,EGY,2016,1,744,2376,291,3.193548387096774,19.6198092905595
FRA,EUR,2017,1,1547,4833,291,3.1241111829347123,12.439560757212893
FRA,BEL,2015,1,644,4352,278,6.75776397515528,29.59083889958021
FRA,MLI,2015,1,309,5637,276,18.24271844660194,46.677631539020354
FRA,MLI,2015,3,49,491,270,10.020408163265307,42.207567348718385
FRA,GBR,2017,1,1673,6996,262,4.181709503885236,15.679367334000082
FRA,CAN,2015,1,443,1649,262,3.7223476297968396,14.32783961877448
FRA,RUS,2016,3,411,1618,246,3.9367396593673964,15.001167046562964
FRA,KWT,2016,1,34,279,243,8.205882352941176,41.488062840879536
FRA,GRC,2016,1,603,1980,240,3.283582089552239,12.832456479832246
FRA,RUS,2017,3,216,1213,237,5.6157407407407405,24.577651644918877
FRA,RUS,2017,2,79,787,233,9.962025316455696,33.84180506717216
FRA,CHE,2015,1,397,1798,215,4.528967254408061,17.87434514422231
FRA,ESP,2015,1,508,3205,215,6.309055118110236,23.91546908243393
FRA,CHN,2015,1,1062,3905,213,3.677024482109228,16.701803911821
FRA,ISR,2017,1,569,3573,205,6.279437609841827,25.32752251733792
FRA,PRK,2017,3,94,743,201,7.904255319148936,26.424601256973112
FRA,RUS,2015,1,3215,9689,198,3.0136858475894246,9.396364233232974
FRA,IRN,2017,3,65,582,190,8.953846153846154,33.48760534195393
FRA,GRC,2015,1,2207,10215,190,4.628454916175804,15.490899457939342
FRA,RUS,2017,1,1083,2815,187,2.5992613111726683,10.389106311560695
FRA,BEL,2016,1,813,3371,185,4.146371463714637,16.497633126097902
FRA,LUX,2015,1,206,1315,185,6.383495145631068,23.754301678057626
FRA,EUR,2015,1,1948,7780,183,3.9938398357289526,12.658363579245947
FRA,ISR,2017,3,77,662,179,8.597402597402597,30.687413732437324
FRA,EGY,2017,1,247,913,176,3.6963562753036436,16.356573815885255
FRA,PRT,2017,1,53,404,173,7.622641509433962,27.327238042694507
FRA,TUR,2016,1,532,2444,173,4.593984962406015,15.13344911177243
FRA,USA,2017,1,3002,8002,173,2.6655562958027983,9.01895923218332
FRA,USA,2016,1,3049,8090,172,2.6533289603148575,8.003373811041772
FRA,LBY,2017,1,344,1124,172,3.2674418604651163,13.840342787683223
FRA,NLD,2017,1,182,853,167,4.686813186813187,16.108257439708172
FRA,ISR,2016,1,1302,3778,162,2.901689708141321,10.881424217079235
FRA,TUN,2015,4,33,528,160,16.0,44.3219753621158
FRA,IRQ,2015,1,329,1549,160,4.708206686930091,21.308991850025823
FRA,MLI,2015,4,77,676,160,8.779220779220779,29.611352453436968
FRA,EUR,2015,4,123,575,160,4.67479674796748,17.53006594535554
FRA,LBN,2015,1,307,1278,160,4.162866449511401,18.899273482381396
FRA,LBN,2015,4,19,349,160,18.36842105263158,49.934635637574345
FRA,TUN,2015,1,292,2300,160,7.876712328767123,26.457614527271012
FRA,IRQ,2015,4,75,603,160,8.04,31.190105846288866
FRA,BEL,2016,3,191,975,159,5.104712041884817,20.078779811841983
FRA,USA,2016,3,423,1248,159,2.950354609929078,12.641798330927074
FRA,SAU,2015,1,733,1823,158,2.4870395634379263,8.775207786048332
FRA,SYR,2017,3,151,1020,155,6.754966887417218,20.639433741398115
FRA,MYS,2015,1,140,963,153,6.878571428571429,18.153410150789156
FRA,BGR,2017,1,109,444,151,4.073394495412844,16.41234089766236
FRA,USA,2011,1,3239,8501,150,2.624575486261192,7.061397635248455
FRA,DEU,2016,1,2396,8153,145,3.402754590984975,9.197856286045527
FRA,SYR,2016,1,1205,5165,145,4.286307053941909,12.354139825146104
FRA,IRL,2015,1,702,1497,144,2.1324786324786325,7.6115273611252015
FRA,BLR,2017,1,40,214,142,5.35,22.212897616313377
FRA,DEU,2017,1,2324,8624,140,3.710843373493976,12.035456420746938
FRA,IRN,2015,1,1704,5581,140,3.2752347417840375,9.499201527346205
FRA,ISR,2015,1,850,2846,139,3.348235294117647,10.412172496878828
FRA,RUS,2016,1,1429,4369,139,3.057382785164451,9.490349462548789
FRA,USA,2017,2,340,1013,137,2.9794117647058824,10.75208093769372
FRA,GBR,2016,4,323,1094,136,3.386996904024768,13.794254068315274
FRA,USA,2012,1,1806,5122,135,2.8361018826135105,7.947873325099633
FRA,SYR,2011,1,805,2931,135,3.6409937888198756,10.874181344206
FRA,ARE,2016,1,225,1252,134,5.564444444444445,18.874268618227728
FRA,GBR,2016,3,779,2240,132,2.8754813863928113,8.626118771334669
FRA,ITA,2015,1,620,1795,131,2.8951612903225805,9.102555649928759
FRA,BEL,2015,4,147,799,131,5.4353741496598635,16.844196605266205
FRA,AUS,2015,1,321,1530,130,4.766355140186916,16.855403124398457
FRA,GBR,2016,2,180,569,127,3.161111111111111,11.28511348937317
FRA,NLD,2015,2,32,697,127,21.78125,42.46572384421233
FRA,WST,2015,3,20,165,125,8.25,27.67266369161946
FRA,KOR,2017,3,6,229,124,38.166666666666664,57.693731606359684
FRA,ESP,2015,3,45,367,124,8.155555555555555,21.297626367482575
FRA,SYR,2017,1,482,4207,124,8.728215767634854,20.805074758030436
FRA,EUR,2016,1,1603,4234,123,2.641297567061759,7.810359413653747
FRA,TUR,2015,3,101,284,122,2.8118811881188117,12.225966523172822
FRA,TUR,2015,1,508,1856,120,3.6535433070866143,10.657388434725174
FRA,IRL,2017,1,188,605,119,3.2180851063829787,12.972215992552083
FRA,IRL,2017,3,28,220,119,7.857142857142857,25.37527855817078
FRA,GBR,2015,1,2574,7395,116,2.8729603729603728,9.178699594728828
FRA,CHN,2017,1,564,1978,115,3.50709219858156,10.588288348181564
FRA,SYR,2015,2,105,262,115,2.4952380952380953,11.18646487220142
FRA,GBR,2017,4,113,323,113,2.8584070796460175,13.277173790702632
FRA,GBR,2015,3,354,1007,113,2.8446327683615817,9.806694655339237
FRA,IDN,2015,4,44,655,110,14.886363636363637,34.08690392258418
FRA,IDN,2015,3,114,1177,110,10.324561403508772,23.4292365627249
FRA,SYR,2017,4,166,1377,110,8.295180722891565,17.982236377009855
FRA,AUS,2016,3,24,159,110,6.625,22.1316466312088
FRA,CUB,2016,1,233,974,109,4.180257510729613,11.249986433813536
FRA,CZE,2016,1,105,854,107,8.133333333333333,21.891808560538845
FRA,EGY,2015,1,887,2512,106,2.832018038331454,7.63929861929144
FRA,NLD,2015,1,302,2205,106,7.301324503311259,18.512057619552447
FRA,SYR,2012,1,1423,3609,104,2.5361911454673227,5.5438341566215765
FRA,IDN,2015,1,219,1123,102,5.127853881278539,16.47522745472649
FRA,USA,2017,3,558,1286,102,2.304659498207885,7.072617422765458
FRA,USA,2015,4,321,1142,102,3.5576323987538943,12.14922628717348
FRA,MOZ,2016,1,34,232,100,6.823529411764706,23.644424787450667
FRA,IRN,2017,1,883,2119,99,2.3997734994337487,7.418023643705331
FRA,USA,2015,3,543,1573,98,2.896869244935543,9.388913997233505
FRA,PRK,2017,1,190,754,98,3.968421052631579,12.18243390732873
FRA,EUR,2017,3,257,876,97,3.4085603112840466,8.262798114732373
FRA,GBR,2016,1,3626,8248,97,2.2746828461114177,6.005616127575878
FRA,CAN,2017,1,391,1801,97,4.6061381074168795,12.028315446621843
FRA,USA,2010,2,102,298,97,2.9215686274509802,9.838987183759025
FRA,GBR,2017,3,291,642,96,2.2061855670103094,6.863101959273021
FRA,USA,2013,1,2655,6251,95,2.3544256120527307,4.801700178480114
FRA,LBY,2016,1,508,1712,95,3.37007874015748,9.16326010184067
FRA,DNK,2015,4,53,296,93,5.584905660377358,16.70609511325841
FRA,GBR,2011,1,2171,5130,93,2.362966374942423,5.798298753219585
FRA,LBY,2011,1,2483,6421,93,2.58598469593234,6.275388153862288
FRA,LUX,2015,3,7,180,92,25.714285714285715,39.5040685065656
FRA,LUX,2017,1,86,562,92,6.534883720930233,19.545842148151042
FRA,CUB,2015,1,478,1258,92,2.6317991631799162,5.337890476925047
FRA,TCD,2014,2,17,160,92,9.411764705882353,21.920477935966098
