Source,Target,Year,QuadClass,ECount,NSources,MaxSources,AvgSources,StdDevSources
GBR,SYR,2017,4,317,3127,405,9.864353312302839,40.957648981632516
GBR,USA,2017,1,10516,38222,320,3.6346519589197412,13.468203984791561
GBR,RUS,2017,4,293,1535,315,5.238907849829351,27.91837886151663
GBR,EGY,2015,3,295,1081,300,3.664406779661017,19.492173230528532
GBR,ECU,2016,4,224,1022,271,4.5625,25.938278325887612
GBR,RUS,2017,1,1891,5594,254,2.9582231623479642,11.749585147012285
GBR,EUR,2016,1,7390,21668,248,2.9320703653585927,11.57872369962698
GBR,EGY,2015,1,1800,10992,232,6.1066666666666665,19.966724959647998
GBR,LBY,2017,1,478,1488,220,3.1129707112970713,11.548630163859874
GBR,SAU,2015,2,251,1169,217,4.657370517928287,19.191303641445714
GBR,MEX,2017,1,354,1686,207,4.762711864406779,16.441506568256546
GBR,LBY,2016,1,600,2340,197,3.9,15.09878434890342
GBR,TUN,2015,1,615,3574,193,5.811382113821138,20.17020896073899
GBR,SYR,2015,1,2129,4995,191,2.346171911695632,8.04819456535352
GBR,PRK,2016,1,248,2196,188,8.85483870967742,25.795738765063867
GBR,KOR,2016,3,108,1059,186,9.805555555555555,30.755125196570052
GBR,USA,2016,1,7967,24627,185,3.0911258943140454,12.331901819494634
GBR,IRN,2015,1,2443,8197,183,3.355300859598854,11.108569985870641
GBR,IRN,2015,3,227,1120,182,4.933920704845815,22.27026359868123
GBR,CHN,2015,1,3624,12489,182,3.4461920529801326,12.437750131473322
GBR,FRA,2017,1,2507,8664,179,3.455923414439569,13.13974067973203
GBR,PGS,2016,1,158,534,172,3.3797468354430378,15.13657888420184
GBR,SOM,2017,1,375,1120,163,2.986666666666667,10.613145583663481
GBR,AFG,2015,4,71,458,160,6.450704225352113,26.634987051081286
GBR,USA,2015,4,688,1735,159,2.5218023255813953,10.30578143342803
GBR,USA,2015,2,544,1116,159,2.051470588235294,9.69009279552439
GBR,BEL,2016,4,126,488,156,3.873015873015873,15.567650626595716
GBR,SAU,2015,1,1273,3233,155,2.539670070699136,9.557433417966342
GBR,EGY,2015,2,78,432,151,5.538461538461538,19.47938791252316
GBR,FRA,2016,4,251,1188,150,4.733067729083666,19.558846135480344
GBR,PRK,2016,3,359,1488,150,4.144846796657381,14.796238760944501
GBR,RUS,2015,1,1996,6628,150,3.32064128256513,10.804083271055388
GBR,RUS,2015,3,669,1981,150,2.961136023916293,8.967922670879302
GBR,CAN,2016,1,1031,2119,147,2.055286129970902,6.04496490233627
GBR,TUN,2017,3,32,215,146,6.71875,25.478940544895554
GBR,MDV,2016,1,103,289,146,2.8058252427184467,14.353422938365325
GBR,POL,2017,1,506,1957,146,3.867588932806324,13.939340187695858
GBR,TUR,2016,2,95,404,146,4.252631578947368,19.755402396615057
GBR,TUN,2017,1,121,512,146,4.231404958677686,18.549824945525547
GBR,PAK,2017,2,66,220,145,3.3333333333333335,17.710781882000433
GBR,SYR,2017,1,793,2452,145,3.0920554854981086,10.28141158493014
GBR,ARG,2017,1,118,787,145,6.669491525423729,21.62661192440895
GBR,SGP,2015,1,284,1642,144,5.78169014084507,19.916119577906166
GBR,TUR,2017,1,1031,2667,144,2.5868089233753637,11.204280588081678
GBR,CUB,2016,1,226,683,142,3.02212389380531,13.528059626081054
GBR,NLD,2016,1,674,1963,142,2.9124629080118694,12.28220879020062
GBR,JOR,2016,4,21,451,142,21.476190476190474,49.742958343487224
GBR,VNM,2016,4,22,447,142,20.318181818181817,48.702582667057385
GBR,MMR,2016,1,151,975,142,6.456953642384106,24.97831995934013
GBR,FRA,2012,1,1537,4476,142,2.912166558230319,10.380932744166438
GBR,MEA,2012,1,121,1099,142,9.082644628099173,24.779893319941035
GBR,IRL,2016,1,2730,6398,142,2.3435897435897437,10.078070348515135
GBR,SWE,2016,1,315,1097,141,3.4825396825396826,13.906724530242364
GBR,DEU,2017,1,2240,7983,140,3.5638392857142858,14.615404071351875
GBR,SYR,2016,1,1640,5432,140,3.3121951219512193,11.369391384863539
GBR,USA,2017,3,1728,4338,140,2.5104166666666665,8.990305932099893
GBR,BHR,2016,1,957,3064,140,3.201671891327064,12.216324103743863
GBR,DEU,2016,1,2164,4851,139,2.2416820702402958,8.126160794843106
GBR,CHN,2016,1,2732,6763,139,2.475475841874085,9.290371672610009
GBR,CAN,2016,3,139,442,139,3.179856115107914,12.400474394011642
GBR,AUS,2016,1,1023,2795,139,2.732160312805474,11.273013509563413
GBR,ECU,2016,1,563,1327,138,2.3570159857904085,8.804443211317219
GBR,EUR,2017,1,5960,16310,137,2.7365771812080535,8.947127292533972
GBR,CAN,2017,1,1098,2812,136,2.5610200364298725,7.729025881276106
GBR,PAK,2017,1,647,1166,136,1.8021638330757341,7.221686141652458
GBR,WST,2016,2,27,215,135,7.962962962962963,26.564119064113946
GBR,IRN,2016,1,1031,3712,135,3.6003879728419013,12.077394427607743
GBR,BEL,2017,1,1971,5858,135,2.9720953830542873,9.810785147023134
GBR,BHR,2016,3,145,446,135,3.075862068965517,12.764470415212802
GBR,RUS,2017,3,671,2015,135,3.0029806259314458,9.633275201228765
GBR,CHL,2016,1,17,152,134,8.941176470588236,32.22861808283768
GBR,USA,2016,2,658,1421,134,2.1595744680851063,7.531794068391824
GBR,GRC,2015,1,748,2075,134,2.7740641711229945,9.630163514907476
GBR,AUS,2015,1,914,3197,133,3.49781181619256,12.334889635744366
GBR,IRL,2017,4,199,519,133,2.608040201005025,13.210691097406789
GBR,THA,2015,1,147,666,133,4.530612244897959,17.772267962381683
GBR,ESP,2015,3,293,760,133,2.5938566552901023,12.170122429059045
GBR,USA,2017,4,699,1815,133,2.59656652360515,9.226397267214297
GBR,USA,2016,3,1242,2429,133,1.9557165861513688,6.7491345678672
GBR,SVK,2016,1,165,759,132,4.6,20.255020455643496
GBR,FRA,2016,3,525,1421,132,2.7066666666666666,10.672682781794569
GBR,CZE,2016,1,241,1210,132,5.020746887966805,17.19918799749475
GBR,GRC,2015,3,201,561,132,2.791044776119403,10.861220898360601
GBR,HUN,2016,1,230,1495,132,6.5,23.901316402327975
GBR,DEU,2017,3,302,889,131,2.943708609271523,11.282839562474962
GBR,IRN,2015,2,61,301,131,4.934426229508197,17.286670059575783
GBR,USA,2013,1,4931,8486,131,1.7209490975461368,3.4932570792817437
GBR,SYR,2015,3,708,1848,130,2.610169491525424,9.57442423362685
GBR,ARE,2015,1,326,1672,130,5.128834355828221,19.184977212316227
GBR,HTI,2016,1,9,168,130,18.666666666666668,42.07433897282285
GBR,ESP,2015,4,141,494,129,3.50354609929078,14.613410726098321
GBR,NGA,2016,1,1406,2443,129,1.7375533428165006,5.520209211537675
GBR,TUR,2016,1,944,2174,128,2.3029661016949152,8.522153259417744
GBR,USA,2015,1,6703,17434,128,2.600924958973594,7.734723242528084
GBR,BEL,2016,1,2194,5550,128,2.5296262534184137,8.439602600994448
GBR,CHN,2015,3,230,749,127,3.256521739130435,12.42617768177332
GBR,VAT,2010,1,60,385,127,6.416666666666667,20.94163937916527
GBR,ISR,2015,1,1437,3528,127,2.4551148225469728,9.13151949366966
GBR,ISR,2017,2,102,706,127,6.921568627450981,22.703289016539234
GBR,AFR,2016,1,450,976,126,2.168888888888889,8.09591230745966
GBR,BEL,2017,3,559,1777,126,3.178890876565295,12.01806517389189
GBR,EUR,2015,1,2695,6117,125,2.2697588126159554,7.3709860125386815
GBR,SYR,2012,3,432,1090,125,2.5231481481481484,7.2614049055991385
GBR,RUS,2016,3,1072,3299,124,3.077425373134328,10.764804744609648
GBR,ALB,2015,1,24,158,124,6.583333333333333,25.035482066835474
GBR,AUS,2016,3,140,435,123,3.107142857142857,14.523459775974077
GBR,FRA,2015,1,3962,11437,123,2.886673397274104,8.411892681740113
GBR,PRK,2017,3,215,882,123,4.102325581395349,13.124449047129472
GBR,OMN,2016,1,313,1258,121,4.019169329073482,13.708957976263322
GBR,ISR,2017,1,1443,2627,121,1.8205128205128205,5.131455902699957
GBR,IRL,2017,1,3731,10983,121,2.9437148217636024,9.605072667174772
GBR,KNA,2017,1,265,841,120,3.1735849056603773,9.538997925251534
GBR,FRA,2015,3,498,1200,120,2.4096385542168677,7.277820241990584
GBR,BEL,2015,1,1062,3112,120,2.9303201506591336,8.938413415879001
GBR,IRL,2015,1,2195,5809,120,2.646469248291572,8.620259259835489
GBR,USA,2017,2,757,2254,119,2.977542932628798,10.747746055689333
GBR,MCO,2016,2,12,132,118,11.0,33.70190175373167
GBR,ESP,2017,1,724,2062,118,2.8480662983425415,9.445138034646382
GBR,FRA,2017,3,319,1071,116,3.3573667711598745,13.243161304846666
GBR,KNA,2016,1,257,868,116,3.377431906614786,11.842453607324547
GBR,FRA,2017,2,321,645,115,2.0093457943925235,7.940987809030916
GBR,EUR,2017,4,242,624,115,2.5785123966942147,10.507260533504098
GBR,NLD,2016,3,23,158,114,6.869565217391305,23.46429463098442
GBR,AUT,2015,1,201,695,114,3.45771144278607,11.660165210507024
GBR,TUR,2016,3,238,910,114,3.823529411764706,13.278355255542014
GBR,ECU,2012,2,747,2252,113,3.0147255689424366,8.23147347205234
GBR,AUT,2017,4,6,119,113,19.833333333333332,45.64391160567493
GBR,IDN,2017,1,216,945,112,4.375,12.815438545608927
GBR,BGD,2016,1,379,627,112,1.654353562005277,5.777561118485708
GBR,SGP,2017,1,114,386,112,3.3859649122807016,12.99728274660585
GBR,ECU,2012,1,1318,4198,112,3.1851289833080423,9.656312177309662
GBR,AUS,2017,1,864,1683,112,1.9479166666666667,4.336999759941065
GBR,BEL,2016,3,369,847,110,2.2953929539295395,8.816178644478756
GBR,AFG,2012,4,293,1178,109,4.020477815699659,13.5664116268247
GBR,EUR,2016,3,1521,3458,109,2.2735042735042734,7.870089204930735
GBR,AFR,2015,1,439,1242,108,2.8291571753986333,10.017357856263546
GBR,SWE,2015,4,83,428,107,5.156626506024097,15.36902327038483
GBR,FRA,2016,1,4429,11527,107,2.602619101377286,7.515124912014781
GBR,IRL,2015,4,172,475,107,2.761627906976744,10.564540365008554
GBR,EUR,2015,2,320,595,105,1.859375,6.872933573743521
