Source,Target,Year,QuadClass,ECount,NSources,MaxSources,AvgSources,StdDevSources
GRC,LUX,2015,1,284,1737,332,6.116197183098592,33.73075504141824
GRC,DEU,2015,1,2722,9357,311,3.437545922116091,12.351014117344793
GRC,IRL,2015,1,126,879,279,6.976190476190476,29.522727322715777
GRC,USA,2015,1,1385,3271,269,2.3617328519855594,8.285101008989475
GRC,USA,2016,1,805,2661,260,3.305590062111801,13.886212463196562
GRC,GBR,2015,1,322,797,254,2.4751552795031055,14.189889477069643
GRC,BEL,2015,1,1277,4066,247,3.1840250587314016,12.172408097657716
GRC,EUR,2015,1,3238,12267,244,3.788449660284126,13.576498529870312
GRC,FRA,2015,1,1072,5460,236,5.093283582089552,18.0482978871043
GRC,EUR,2015,3,705,2346,212,3.3276595744680852,13.380750178465007
GRC,LUX,2015,4,12,258,206,21.5,59.10775983512886
GRC,EUR,2016,3,215,1148,188,5.339534883720931,19.734714178520285
GRC,EUR,2016,4,47,509,188,10.829787234042554,35.027516605077274
GRC,EUR,2015,2,287,944,168,3.289198606271777,11.635939700435278
GRC,DEU,2015,3,482,1386,162,2.87551867219917,10.534028724326282
GRC,RUS,2015,1,1925,4169,153,2.165714285714286,7.628597346530844
GRC,USA,2017,1,487,1374,136,2.8213552361396306,9.544508893149384
GRC,BEL,2016,1,275,1603,134,5.829090909090909,17.912293139654192
GRC,TUR,2016,1,932,2565,134,2.7521459227467813,9.996548583126923
GRC,EUR,2016,1,1019,2929,131,2.874386653581943,9.557699942158699
GRC,HUN,2016,1,56,1124,131,20.071428571428573,39.76835523279882
GRC,NLD,2015,1,143,877,128,6.1328671328671325,19.241327939531313
GRC,TUR,2015,1,605,1096,127,1.8115702479338842,7.389194613322243
GRC,ITA,2016,1,140,785,121,5.607142857142857,21.17100515809076
GRC,DEU,2016,1,464,1160,121,2.5,7.725864668838657
GRC,FRA,2015,3,102,637,113,6.245098039215686,17.556379492406236
GRC,MYS,2015,1,69,1347,106,19.52173913043478,34.125033374537516
GRC,CHL,2016,4,8,218,106,27.25,48.605555238058955
GRC,ALB,2016,1,183,873,103,4.770491803278689,13.993397315810023
GRC,BEL,2017,1,103,467,89,4.533980582524272,12.720845586319797
GRC,WST,2016,1,67,445,88,6.641791044776119,18.19815299697007
GRC,ITA,2015,1,384,1045,87,2.7213541666666665,7.64027819539047
GRC,EUR,2012,1,683,1753,76,2.566617862371889,5.7684701295301535
GRC,BEL,2012,1,274,947,76,3.4562043795620436,9.005080871996071
GRC,DEU,2012,2,33,138,74,4.181818181818182,12.756014624125717
