Source,Target,Year,QuadClass,ECount,NSources,MaxSources,AvgSources,StdDevSources
IND,NPL,2017,1,706,1427,180,2.0212464589235126,9.940152923686037
IND,PAK,2015,4,104,406,130,3.9038461538461537,14.562566208537671
IND,AUS,2015,1,109,469,109,4.302752293577981,17.2950991705079
IND,USA,2016,1,1380,2563,92,1.857246376811594,4.153061159565558
IND,BGD,2011,1,1316,2331,85,1.7712765957446808,4.33783901758099
IND,CHE,2015,4,14,118,80,8.428571428571429,20.920046645463092
IND,PAK,2017,1,566,875,75,1.5459363957597174,4.470217205569981
IND,USA,2010,1,2746,4975,71,1.811726147123088,3.5337386311553534
IND,MMR,2010,1,116,419,66,3.6120689655172415,8.605126431351849
IND,CHE,2015,1,41,109,60,2.658536585365854,9.232035951234055
IND,NPL,2016,1,1381,2371,60,1.716871832005793,2.4763075723708776
IND,PAK,2010,1,1083,1729,60,1.5964912280701755,2.7066473021048343
IND,PAK,2012,1,3251,6519,48,2.005229160258382,3.673644641927376
IND,JPN,2010,1,358,739,47,2.064245810055866,3.944830445625046
IND,MDV,2012,1,85,157,46,1.8470588235294119,4.890481236308864
IND,NPL,2015,3,58,176,44,3.0344827586206895,7.0883287250051135
IND,RUS,2011,1,391,938,44,2.398976982097187,5.117030286284309
IND,USA,2012,1,1977,2758,43,1.395042994436014,1.5722272394866283
IND,PAK,2016,1,1754,2874,41,1.6385404789053593,2.2619190121630592
IND,USA,2011,1,1607,2394,40,1.489732420659614,1.856223852173516
IND,VNM,2011,1,120,642,40,5.35,11.673895319591193
IND,PAK,2012,3,233,513,40,2.2017167381974247,3.6563120394410706
IND,GBR,2011,1,180,365,40,2.0277777777777777,3.8206006658048035
IND,BGD,2015,1,1555,3331,39,2.1421221864951767,3.1109462361823863
IND,SGP,2012,1,83,172,38,2.072289156626506,5.705759034455561
IND,SWE,2014,1,24,89,37,3.7083333333333335,9.100784326766501
IND,USA,2009,1,3337,6070,37,1.8189991009889122,2.5447243739524485
IND,ITA,2013,3,110,277,37,2.518181818181818,4.376190413527067
IND,GBR,2012,1,265,434,36,1.6377358490566039,3.464770009371296
IND,PAK,2013,4,162,285,36,1.7592592592592593,3.8974518758945225
IND,NPL,2017,3,85,162,35,1.9058823529411764,4.724867167222711
IND,USA,2013,1,3456,5549,34,1.6056134259259258,1.7332578177159703
IND,PAK,2016,3,477,743,33,1.5576519916142557,2.2620659527153597
IND,VNM,2014,1,683,1356,33,1.9853587115666178,2.9506830033716955
IND,USA,2009,2,99,151,32,1.5252525252525253,3.143971991694564
IND,PAK,2013,1,2940,5157,32,1.7540816326530613,2.193373749354633
IND,BGD,2015,2,92,222,32,2.4130434782608696,4.06581074437533
IND,BGD,2016,2,87,168,32,1.9310344827586208,4.6750030554604525
IND,MMR,2013,1,159,341,30,2.1446540880503147,4.452046148821145
IND,ISR,2012,4,106,277,30,2.6132075471698113,5.227347054931823
IND,USA,2017,3,269,528,30,1.962825278810409,3.3410764714408017
IND,GBR,2017,2,68,176,30,2.588235294117647,4.788778219894167
IND,AUS,2011,1,77,142,30,1.844155844155844,3.379757602118418
IND,TZA,2016,1,173,691,29,3.994219653179191,5.615072231127067
IND,RUS,2009,1,1014,1890,29,1.863905325443787,2.435185266107645
IND,USA,2017,1,1352,2090,28,1.5458579881656804,1.7987488053621612
IND,CHN,2014,1,1155,1877,28,1.6251082251082252,2.1520760726376036
IND,LKA,2013,1,831,1475,28,1.7749699157641396,2.409049048560647
IND,CHN,2016,1,1614,2743,27,1.6995043370508054,2.3811175466374865
IND,SAU,2016,1,309,695,27,2.249190938511327,3.1281152253033713
IND,TWN,2017,1,39,108,27,2.769230769230769,5.810433168296395
IND,PAK,2011,1,883,1190,27,1.347678369195923,1.4585204897036308
IND,USA,2015,1,1917,3393,27,1.7699530516431925,2.4721358763454155
IND,CAN,2013,3,51,131,26,2.5686274509803924,4.678695980551778
IND,CAN,2013,1,223,599,26,2.68609865470852,4.88333574969789
IND,NPL,2015,1,399,674,24,1.6892230576441103,2.2480944801828984
IND,RUS,2013,1,847,1448,24,1.7095631641086186,2.0658636447130165
IND,BGD,2015,3,155,288,24,1.8580645161290323,2.757371959979424
IND,USA,2012,4,111,198,24,1.7837837837837838,2.890125525444449
IND,JPN,2009,1,255,478,23,1.8745098039215686,3.113334487144051
IND,GBR,2015,1,894,1576,23,1.7628635346756152,2.0010431404368556
IND,CYP,2017,1,85,290,23,3.411764705882353,4.860663578172025
IND,CHN,2013,1,1875,2916,23,1.5552,1.8912590036789776
IND,VNM,2014,2,6,34,23,5.666666666666667,8.824209124146291
IND,CHN,2009,1,1012,1671,23,1.651185770750988,2.302080205182495
IND,ISR,2016,1,578,846,23,1.4636678200692042,1.8700119204716743
IND,CHN,2015,1,960,1718,23,1.7895833333333333,2.2982733314108157
IND,SEA,2009,1,163,464,23,2.8466257668711656,4.268146187468698
IND,KOR,2009,1,59,229,23,3.8813559322033897,6.156254867353823
IND,PAK,2013,3,360,499,22,1.386111111111111,1.6141182088300583
IND,RUS,2012,1,432,876,22,2.0277777777777777,3.105143800230237
IND,LKA,2015,1,492,878,22,1.7845528455284554,2.3627983175164755
IND,MMR,2015,1,112,156,22,1.3928571428571428,2.29906813420444
IND,SAU,2010,1,354,633,21,1.7881355932203389,2.2462497354287363
IND,RUS,2014,1,288,431,21,1.4965277777777777,2.2570034463236857
IND,ITA,2016,2,21,63,21,3.0,5.394441583704471
