Source,Target,Year,QuadClass,ECount,NSources,MaxSources,AvgSources,StdDevSources
IRN,SAU,2016,3,2075,6661,337,3.210120481927711,15.249458745471454
IRN,EUR,2016,1,951,4898,282,5.150368033648791,20.20170647745509
IRN,USA,2016,1,3635,10091,267,2.7760660247592845,10.923883818685423
IRN,USA,2016,4,635,2656,264,4.182677165354331,17.259789406621184
IRN,GBR,2015,1,1567,7772,231,4.959795788130185,19.78522074317342
IRN,FRA,2015,1,1624,6638,231,4.08743842364532,17.131609432271407
IRN,CHN,2015,1,871,3852,231,4.422502870264064,21.430253589280134
IRN,DEU,2015,1,969,4786,231,4.939112487100103,20.179601834606213
IRN,SAU,2016,1,2196,6374,228,2.9025500910746813,9.70825320447648
IRN,RUS,2015,1,2545,8148,227,3.2015717092337916,13.649584647555093
IRN,USA,2015,1,5799,20194,227,3.4823245387135713,13.22723064772086
IRN,CHE,2015,1,2139,9345,223,4.368863955119215,12.951083877107225
IRN,SAU,2016,4,1423,4610,196,3.2396345748418836,10.491751653066977
IRN,EUR,2012,2,23,388,188,16.869565217391305,48.34563470735405
IRN,EUR,2012,1,241,1122,188,4.655601659751038,21.635080977600488
IRN,GBR,2015,3,107,877,182,8.19626168224299,29.82604890762956
IRN,FRA,2016,1,2029,5810,172,2.863479546574667,8.748490538564555
IRN,QAT,2015,1,272,980,168,3.6029411764705883,15.762901662077809
IRN,SDN,2016,3,77,833,167,10.818181818181818,31.166246617609655
IRN,SYR,2015,1,1762,3720,164,2.1112372304199774,5.446565453838915
IRN,USA,2015,4,678,2344,161,3.4572271386430677,13.298096818941385
IRN,SAU,2015,3,563,1435,161,2.5488454706927177,8.303560822332232
IRN,PRT,2016,1,35,416,160,11.885714285714286,37.28489003886271
IRN,JOR,2016,1,1765,4233,159,2.398300283286119,8.500733425102455
IRN,JOR,2017,3,278,687,158,2.471223021582734,10.49622070272603
IRN,EUR,2015,4,40,267,152,6.675,25.521622305962545
IRN,RUS,2016,1,3233,7139,152,2.2081657902876586,8.248516676266323
IRN,USA,2016,2,498,1224,150,2.4578313253012047,11.058252056584006
IRN,SAU,2017,2,78,911,147,11.679487179487179,25.66998023855658
IRN,USA,2017,1,2551,6192,141,2.427283418267346,7.425294899381427
IRN,CUB,2016,1,487,1047,137,2.1498973305954827,8.4390891272743
IRN,LBN,2016,1,528,885,131,1.6761363636363635,5.893362831308248
IRN,EUR,2015,1,637,1744,128,2.7378335949764523,8.449556034851911
IRN,JOR,2017,1,831,2748,128,3.306859205776173,10.95900086150935
IRN,YEM,2015,1,694,1764,128,2.5417867435158503,7.900745045368594
IRN,DNK,2015,1,49,398,126,8.122448979591837,25.960412693385376
IRN,DEU,2017,1,361,1141,123,3.160664819944598,8.904849091060695
IRN,GBR,2017,3,106,721,123,6.80188679245283,22.812035174158883
IRN,USA,2011,1,2570,5748,119,2.2365758754863814,5.6131331940085065
IRN,JOR,2015,1,1226,2831,118,2.309135399673736,7.335896516502648
IRN,RUS,2017,1,1915,4500,118,2.349869451697128,7.520212661075267
IRN,GBR,2016,1,804,1898,118,2.3606965174129355,5.6134731636342705
IRN,USA,2017,3,1258,3259,116,2.5906200317965022,8.438941129061952
IRN,DEU,2010,3,127,638,115,5.0236220472440944,14.735479571606227
IRN,GBR,2017,1,346,692,115,2.0,8.245859742837657
IRN,DEU,2010,1,506,2219,115,4.3853754940711465,12.746566361853725
IRN,MEX,2017,1,40,272,115,6.8,25.142873792868283
IRN,FRA,2015,3,168,516,114,3.0714285714285716,12.158421062678423
IRN,TUR,2016,1,2195,5692,114,2.5931662870159453,8.232317795571657
IRN,USA,2015,2,377,876,112,2.323607427055703,8.22595139260874
IRN,FRA,2015,4,87,417,111,4.793103448275862,16.084181114283723
IRN,SYR,2017,1,1181,3777,109,3.1981371718882303,10.570892073935626
IRN,MEX,2017,4,3,118,107,39.333333333333336,58.65435476870693
IRN,BHR,2015,4,26,202,106,7.769230769230769,21.073789772715667
IRN,NOR,2015,2,5,212,105,42.4,56.6903871921863
IRN,IRQ,2015,2,58,268,105,4.620689655172414,19.137386562127862
IRN,AUS,2015,3,11,375,103,34.09090909090909,46.47247474678866
IRN,SYR,2015,3,247,907,102,3.672064777327935,11.353599272965003
IRN,SAU,2017,3,408,1205,102,2.9534313725490198,9.477778899354929
IRN,AUT,2015,1,1259,5941,102,4.718824463860207,12.443144589116729
IRN,SDN,2017,4,57,407,101,7.140350877192983,20.475977733930094
IRN,YEM,2017,4,97,525,101,5.412371134020619,15.916286586203396
IRN,LBY,2017,4,50,397,101,7.94,21.413718662081454
IRN,SYR,2017,4,244,643,101,2.6352459016393444,10.17067050997185
IRN,USA,2012,1,2587,5261,101,2.0336296868960186,5.262559984805272
IRN,SOM,2017,4,56,401,101,7.160714285714286,20.276073481918434
IRN,ISR,2017,3,202,567,100,2.8069306930693068,10.372531246655006
IRN,RUS,2017,3,196,658,99,3.357142857142857,11.825873416001123
IRN,BHR,2016,1,90,390,99,4.333333333333333,14.603370397490165
IRN,USA,2011,2,434,1009,97,2.324884792626728,6.2168643552548986
IRN,AUS,2016,1,225,800,97,3.5555555555555554,10.632152121285642
IRN,SAU,2015,1,1344,3913,95,2.9114583333333335,8.758549213193385
IRN,IRQ,2016,3,129,418,94,3.24031007751938,10.63145039037952
IRN,SYR,2016,1,1689,3516,91,2.0817051509769096,5.7216602610492675
IRN,SYR,2016,2,143,338,89,2.3636363636363638,7.91018727591685
IRN,PAK,2015,1,1216,3411,88,2.805098684210526,7.884704596534703
IRN,USA,2010,1,2623,6378,87,2.4315669081204727,6.987824931757431
IRN,SYR,2015,4,206,639,87,3.1019417475728157,7.992941771490883
IRN,SYR,2012,1,2142,4015,86,1.8744164332399627,4.51191882679114
IRN,NOR,2017,1,94,226,86,2.404255319148936,8.82484170735757
IRN,PRK,2012,1,137,345,84,2.5182481751824817,10.0191744037158
IRN,IRQ,2012,1,1030,1693,83,1.6436893203883496,4.459539951583485
IRN,SWE,2016,3,13,186,83,14.307692307692308,24.32209083455003
IRN,ITA,2016,1,878,2177,82,2.479498861047836,5.799690450936203
IRN,USA,2017,2,295,1084,80,3.6745762711864405,10.00148956967712
IRN,DEU,2016,1,584,1634,80,2.797945205479452,8.654226654951735
IRN,ISR,2015,3,431,978,79,2.269141531322506,5.722818378347348
IRN,SYR,2013,3,484,1252,79,2.5867768595041323,5.9087883053879935
IRN,GBR,2011,3,397,1049,79,2.6423173803526447,6.861768087224582
IRN,AUT,2012,1,180,543,78,3.0166666666666666,10.039294306254686
IRN,GBR,2009,1,999,2315,77,2.3173173173173174,4.779969311999579
IRN,FRA,2009,1,680,1655,77,2.4338235294117645,5.13284810694696
IRN,DEU,2009,1,385,961,77,2.496103896103896,5.7785171819862935
IRN,GBR,2015,4,198,696,77,3.515151515151515,11.501369273029693
IRN,USA,2010,4,317,615,77,1.9400630914826498,5.266283126711896
IRN,GBR,2014,1,1080,2222,76,2.0574074074074074,4.428030265292188
