Source,Target,Year,QuadClass,ECount,NSources,MaxSources,AvgSources,StdDevSources
IRQ,USA,2016,4,253,1909,252,7.545454545454546,31.31779802771059
IRQ,IRN,2015,1,1851,4610,248,2.4905456509994597,10.853983813375763
IRQ,FRA,2015,1,207,1219,248,5.888888888888889,24.0350113199014
IRQ,USA,2016,1,1882,8517,197,4.525504782146652,15.470080120402162
IRQ,SAU,2017,1,919,3283,190,3.572361262241567,13.08714456690607
IRQ,IRN,2017,1,1545,3051,180,1.974757281553398,7.836658886036921
IRQ,TUR,2017,1,762,1625,180,2.1325459317585302,9.124745985764239
IRQ,IRN,2017,4,200,884,162,4.42,19.193110154087442
IRQ,TUR,2017,4,38,439,162,11.552631578947368,34.51728698776502
IRQ,IRN,2017,2,194,1008,162,5.195876288659794,19.888361569321827
IRQ,USA,2015,1,3194,12276,153,3.8434564809016907,12.515267572265598
IRQ,USA,2016,3,181,453,143,2.5027624309392267,11.473943577317677
IRQ,LBY,2016,2,34,666,142,19.58823529411765,44.37725164381082
IRQ,USA,2017,1,1503,5508,137,3.6646706586826348,11.874930625965305
IRQ,USA,2011,1,2587,6006,136,2.321608040201005,6.218825488197104
IRQ,AUS,2016,4,61,296,136,4.852459016393443,19.429218602896142
IRQ,USA,2017,3,300,1092,135,3.64,11.205755807204723
IRQ,TUR,2016,3,616,1651,131,2.6801948051948052,9.306348770686819
IRQ,IDN,2016,4,6,146,126,24.333333333333332,49.91459372434746
IRQ,USA,2017,4,263,944,125,3.5893536121673004,13.049765314802706
IRQ,IRN,2016,1,1047,1591,125,1.5195797516714422,4.842386606315095
IRQ,TUR,2015,3,641,1641,123,2.5600624024961,7.614535606069475
IRQ,CHE,2017,1,11,247,115,22.454545454545453,39.53065553811026
IRQ,ARE,2017,1,30,191,111,6.366666666666666,21.25783155213275
IRQ,FRA,2015,3,75,583,110,7.773333333333333,20.39778295672227
IRQ,USA,2015,3,487,1282,109,2.6324435318275152,8.096283681354382
IRQ,IRN,2017,3,316,865,108,2.7373417721518987,10.079556453942693
IRQ,FRA,2015,4,21,165,104,7.857142857142857,22.352372836649167
IRQ,SAU,2016,1,627,1470,103,2.3444976076555024,7.159701356144653
IRQ,AFG,2017,4,119,629,103,5.285714285714286,13.827718941966335
IRQ,TUR,2016,1,881,1988,95,2.2565266742338252,7.280736177471024
IRQ,USA,2014,2,971,2654,95,2.733264675592173,8.177913147901295
IRQ,USA,2012,1,1011,2644,94,2.615232443125618,5.911670402759884
IRQ,DNK,2017,1,13,112,94,8.615384615384615,25.679234352353205
IRQ,QAT,2017,1,146,1098,93,7.52054794520548,18.475414858141725
IRQ,TUR,2017,3,218,546,92,2.5045871559633026,8.563801056683406
IRQ,AFG,2017,2,31,226,92,7.290322580645161,22.63801161525616
IRQ,PAK,2010,1,53,348,91,6.566037735849057,18.751932653177857
IRQ,ZAF,2017,4,21,304,90,14.476190476190476,29.056185309876877
IRQ,USA,2015,2,339,850,89,2.5073746312684366,6.856243982574226
IRQ,USA,2017,2,147,570,88,3.877551020408163,11.67182414590483
IRQ,RUS,2015,1,619,1376,84,2.222940226171244,6.784862535517658
IRQ,GBR,2015,4,31,142,84,4.580645161290323,14.917046610166922
IRQ,ITA,2017,1,16,106,84,6.625,20.67163918673763
IRQ,IRN,2012,4,45,140,83,3.111111111111111,12.271960320218204
IRQ,ARE,2015,4,9,105,82,11.666666666666666,26.837473800639284
IRQ,USA,2010,2,287,1034,79,3.602787456445993,10.13522517784959
IRQ,USA,2010,3,247,547,79,2.214574898785425,5.779001633459708
IRQ,GBR,2015,3,81,322,78,3.9753086419753085,13.012470277239807
IRQ,FRA,2017,3,3,81,78,27.0,44.170125650715555
IRQ,IRN,2016,3,142,245,78,1.7253521126760563,6.476519911096183
IRQ,USA,2009,4,304,604,76,1.986842105263158,5.227481130686809
IRQ,QAT,2017,2,17,92,74,5.411764705882353,17.681412639864963
IRQ,TUR,2012,3,395,877,71,2.220253164556962,6.305230681418193
IRQ,USA,2014,1,5162,12119,70,2.3477334366524603,4.452527230339321
IRQ,SYR,2017,1,275,808,68,2.938181818181818,9.234564768475659
IRQ,USA,2012,2,153,588,68,3.843137254901961,8.890501767157273
IRQ,EUR,2016,3,10,117,67,11.7,21.633564456906107
IRQ,DEU,2017,1,56,165,67,2.9464285714285716,8.812015852041085
IRQ,ITA,2016,2,54,305,66,5.648148148148148,13.784264213303745
IRQ,JOR,2016,1,96,285,65,2.96875,9.639232471082895
IRQ,TUR,2015,1,1291,2276,64,1.7629744384198296,3.5871724714120146
IRQ,FRA,2017,1,358,1609,64,4.494413407821229,10.508565110963549
IRQ,FRA,2014,1,525,1104,61,2.1028571428571428,3.940019208473567
IRQ,SAU,2011,1,88,161,61,1.8295454545454546,6.415178823013703
IRQ,RUS,2017,3,24,146,61,6.083333333333333,16.465818789413333
IRQ,SYR,2015,3,65,182,61,2.8,7.978878367289479
IRQ,LBN,2017,4,11,78,60,7.090909090909091,17.60939831711774
IRQ,IRN,2012,1,1797,3031,59,1.6867000556483027,3.828201829719817
IRQ,FRA,2014,2,69,233,59,3.3768115942028984,7.883529832869663
IRQ,SYR,2017,4,130,464,59,3.5692307692307694,7.272053825815479
IRQ,USA,2015,4,271,661,58,2.4391143911439115,5.34884736197258
IRQ,SAU,2015,1,423,1282,57,3.0307328605200947,7.16207105409585
IRQ,AFG,2017,3,18,135,57,7.5,17.321357099393392
IRQ,ITA,2016,1,129,650,56,5.038759689922481,11.781475860418016
IRQ,USA,2010,1,1437,3587,55,2.4961725817675715,5.786909451102932
IRQ,SYR,2014,1,583,1654,54,2.83704974271012,6.68787687707773
IRQ,TUR,2015,4,166,373,54,2.246987951807229,4.870986144929626
IRQ,USA,2014,3,1075,2070,54,1.9255813953488372,3.4422674675407348
IRQ,EUR,2017,1,50,198,53,3.96,8.813162697618482
IRQ,BHR,2016,3,35,150,53,4.285714285714286,11.615333244748282
IRQ,RUS,2013,1,125,473,51,3.784,10.67600867788719
IRQ,GBR,2011,1,122,306,51,2.5081967213114753,6.547027464593219
IRQ,USA,2011,4,173,349,49,2.0173410404624277,4.442754734735554
IRQ,EGY,2015,1,100,213,49,2.13,5.285113455965183
IRQ,IRN,2014,2,243,481,48,1.9794238683127572,4.495588801810633
IRQ,IRN,2011,2,142,406,48,2.859154929577465,6.279078792821834
IRQ,USA,2013,2,185,515,47,2.7837837837837838,6.3636840537227455
IRQ,SYR,2012,1,720,1373,46,1.9069444444444446,4.140905761475516
IRQ,CAN,2015,1,69,328,46,4.753623188405797,8.416380731682166
IRQ,AUS,2015,1,98,261,46,2.663265306122449,4.984396017658086
IRQ,SYR,2015,1,487,1039,45,2.13347022587269,3.8394541673425433
IRQ,IRN,2011,3,157,286,45,1.821656050955414,5.05546566968375
IRQ,CAN,2015,2,28,150,45,5.357142857142857,9.798768954101991
IRQ,USA,2013,1,1662,3445,45,2.07280385078219,3.819544050984148
IRQ,SAU,2014,3,398,739,45,1.85678391959799,3.9990038694847327
IRQ,QAT,2012,1,116,412,45,3.5517241379310347,7.969883341665682
IRQ,IRN,2011,1,1355,1677,45,1.2376383763837637,1.4218905910384327
