Source,Target,Year,QuadClass,ECount,NSources,MaxSources,AvgSources,StdDevSources
ISR,USA,2017,1,7999,28077,435,3.5100637579697462,17.357698289402077
ISR,PSE,2015,3,2514,8011,273,3.186555290373906,11.608028314768712
ISR,ITA,2016,1,342,2072,271,6.058479532163743,22.242124732979306
ISR,ESP,2017,1,73,678,264,9.287671232876713,39.244772989552665
ISR,PSE,2017,4,1322,3879,248,2.9341906202723145,12.062205492797101
ISR,USA,2016,1,6423,18923,243,2.946131091390316,10.83057543588714
ISR,PSE,2016,4,2482,6345,203,2.556406124093473,6.677659311053303
ISR,PSE,2016,1,6346,16754,203,2.6400882445635045,8.39150346634164
ISR,FRA,2016,1,1205,2823,201,2.3427385892116184,7.726074899823804
ISR,AFR,2016,1,749,2726,184,3.6395193591455275,14.323733634189816
ISR,PSE,2017,1,7311,27476,181,3.7581726166051155,11.789944759255109
ISR,FRA,2017,3,182,1125,179,6.181318681318682,22.39610962708184
ISR,FRA,2017,1,683,4153,179,6.080527086383602,19.49571616266968
ISR,BEL,2016,1,304,1560,177,5.131578947368421,19.858637116523372
ISR,PSE,2015,1,6517,19260,174,2.9553475525548567,9.290417035920338
ISR,MEX,2017,1,497,1364,174,2.744466800804829,12.025724047991119
ISR,SYR,2017,3,335,1135,173,3.388059701492537,16.010807749356193
ISR,JOR,2015,1,848,3002,172,3.5400943396226414,12.953218742382907
ISR,PSE,2015,4,1998,7409,171,3.7082082082082084,11.338045228216735
ISR,SYR,2017,1,554,3558,169,6.422382671480144,19.768879888201283
ISR,PSE,2010,1,4942,11153,167,2.2567786321327397,6.435191333255985
ISR,IRN,2015,1,2815,7439,166,2.6426287744227355,8.622883320239627
ISR,POL,2017,4,21,357,156,17.0,41.835391715627566
ISR,CHE,2015,3,58,293,154,5.051724137931035,20.308517281381704
ISR,PSE,2017,2,520,1541,153,2.9634615384615386,11.109570399824317
ISR,SEN,2016,1,45,883,153,19.622222222222224,43.011250583628424
ISR,TUR,2017,1,559,1310,153,2.3434704830053668,9.64049605976005
ISR,USA,2014,1,8592,16147,146,1.879306331471136,4.028906156432069
ISR,UKR,2016,1,304,2224,143,7.315789473684211,23.579910074269744
ISR,UKR,2016,4,70,572,142,8.17142857142857,26.74624255261344
ISR,AUS,2017,1,794,2496,133,3.1435768261964734,9.98255933351662
ISR,IRN,2016,1,682,1097,132,1.6085043988269794,5.280178026535114
ISR,GBR,2016,1,926,2457,131,2.6533477321814254,10.90161032597901
ISR,AUS,2016,1,276,1241,129,4.496376811594203,17.280256350877497
ISR,GBR,2017,2,72,283,127,3.9305555555555554,16.742731354475517
ISR,AUS,2015,1,106,313,126,2.952830188679245,12.266393947903975
ISR,USA,2015,1,10630,24816,126,2.3345249294449673,5.85215044389966
ISR,AUS,2015,3,16,151,126,9.4375,31.10620248975007
ISR,USA,2015,2,511,1539,126,3.01174168297456,10.628294603381995
ISR,PSE,2014,3,3585,8691,125,2.4242677824267784,5.995759492554574
ISR,USA,2011,1,4991,11542,124,2.312562612702865,5.8729433329140805
ISR,PSE,2016,3,2065,4026,119,1.949636803874092,5.611223967424426
ISR,GBR,2015,1,790,1592,119,2.0151898734177216,6.790717003113433
ISR,IRN,2015,3,1510,3821,118,2.5304635761589402,7.404532609468096
ISR,SYR,2015,3,121,432,118,3.5702479338842976,12.216673337615957
ISR,VAT,2015,1,199,432,117,2.170854271356784,8.30303308179871
ISR,PSE,2014,4,2644,6723,117,2.5427382753403935,6.4056991560620835
ISR,USA,2015,3,2199,4722,115,2.1473396998635743,5.0903690548236105
ISR,IRN,2012,1,2204,4765,114,2.161978221415608,5.3410755008381505
ISR,IRN,2017,1,1093,2368,112,2.1665141811527904,6.878171557432315
ISR,USA,2017,2,320,885,111,2.765625,8.747489003792651
ISR,PSE,2011,3,1355,2601,111,1.9195571955719557,5.004594029394662
ISR,FRA,2015,4,128,490,111,3.828125,12.851121691905247
ISR,MAR,2016,1,67,438,109,6.537313432835821,18.256861191118983
ISR,USA,2012,1,7558,18747,105,2.480418100026462,6.9347571268552395
ISR,EUR,2017,1,264,698,104,2.643939393939394,11.056806362222057
ISR,CHN,2010,1,212,468,104,2.207547169811321,8.707698811951422
ISR,SYR,2017,4,239,1206,104,5.046025104602511,13.910653332990066
ISR,USA,2016,2,426,1130,103,2.652582159624413,6.65035729418298
ISR,AUS,2017,4,18,244,103,13.555555555555555,32.73102903114884
ISR,USA,2013,1,7657,14655,101,1.9139349614731618,3.7926653892628868
ISR,KEN,2016,1,426,966,100,2.267605633802817,7.478202514090965
ISR,SAU,2016,1,435,815,98,1.8735632183908046,5.964573983460507
ISR,EUR,2015,2,50,182,98,3.64,13.676674616712521
ISR,JOR,2017,4,541,2141,98,3.957486136783734,11.053240029523943
ISR,RWA,2016,1,205,679,96,3.3121951219512193,11.700515220806693
ISR,RUS,2016,1,1993,4083,96,2.048670346211741,6.248464830593622
ISR,IRN,2017,3,511,1158,95,2.2661448140900196,6.643558623721996
ISR,EUR,2015,1,596,1341,93,2.25,7.054142355364533
ISR,EGY,2011,1,2183,4551,92,2.0847457627118646,5.317823739848165
ISR,EGY,2011,3,725,1764,92,2.4331034482758622,7.309080623046977
ISR,EUR,2015,3,144,353,91,2.451388888888889,7.940187118958311
ISR,GBR,2017,3,215,676,91,3.144186046511628,10.6981809600079
ISR,EUR,2012,1,403,1245,91,3.0893300248138957,9.494274802618078
ISR,PSE,2014,1,10270,21518,90,2.0952288218111,3.7498319008289567
ISR,EGY,2010,1,1199,2309,90,1.9257714762301918,5.16961018843016
ISR,DJI,2010,1,14,181,89,12.928571428571429,30.175038807480714
ISR,DEU,2015,1,985,2267,87,2.301522842639594,5.250382072405379
ISR,SGP,2017,1,233,619,87,2.6566523605150216,7.962339206637513
ISR,IRN,2015,4,235,487,85,2.072340425531915,6.233275130938323
ISR,PHL,2014,1,141,477,85,3.382978723404255,9.23785656529547
ISR,USA,2011,3,688,1290,85,1.875,4.10687817277982
ISR,JOR,2017,1,883,2533,85,2.868629671574179,9.170887157157845
ISR,PSE,2010,3,964,2065,84,2.142116182572614,5.62957718080766
ISR,SAU,2015,1,384,1052,84,2.7395833333333335,8.429396271201984
ISR,SAU,2015,2,37,226,84,6.108108108108108,18.0459040963498
ISR,USA,2010,1,6499,14229,84,2.189413755962456,4.965994421565072
ISR,USA,2014,3,1389,2314,84,1.6659467242620591,4.024868594706221
ISR,IRN,2012,3,1750,3637,84,2.0782857142857143,3.8845749743513336
ISR,RUS,2017,1,2239,5059,84,2.259490844126842,6.193276494335009
ISR,EGY,2011,4,633,1762,81,2.7835703001579777,7.408230661675223
ISR,EGY,2012,1,1629,4851,80,2.977900552486188,7.791556745816182
ISR,PSE,2012,2,397,1099,79,2.7682619647355162,7.217172300285565
ISR,USA,2016,3,1252,2829,77,2.259584664536741,5.78696093418104
ISR,SYR,2014,1,230,573,77,2.491304347826087,7.959911184440009
ISR,PSE,2012,4,949,2776,77,2.9251844046364592,6.105238126991208
ISR,GBR,2014,1,686,1110,75,1.6180758017492711,3.5001430335858528
ISR,TUR,2016,1,1682,3211,75,1.9090368608799049,4.5021696560620486
ISR,GBR,2017,1,959,1755,75,1.8300312825860272,4.891227618815356
ISR,PSE,2010,4,575,1113,74,1.9356521739130435,5.003939063436246
ISR,THA,2012,4,202,631,72,3.123762376237624,7.800977723067241
ISR,RUS,2015,1,1276,3238,72,2.5376175548589344,6.485289196833257
ISR,PSE,2014,2,976,1864,71,1.9098360655737705,4.695231140239788
ISR,VAT,2017,1,177,397,71,2.2429378531073447,7.199492434885909
ISR,MCO,2017,3,11,152,71,13.818181818181818,27.787832523671874
ISR,EGY,2015,1,775,1536,71,1.9819354838709677,4.994279297999523
ISR,PSE,2011,2,445,1035,70,2.3258426966292136,5.4043177618174365
ISR,POL,2014,1,215,793,70,3.688372093023256,11.339312340123682
ISR,CZE,2017,1,42,126,70,3.0,10.713565597170627
ISR,CYP,2016,1,341,681,69,1.997067448680352,6.382650442329322
ISR,EGY,2017,1,777,1466,69,1.8867438867438868,5.1780207407155325
ISR,UGA,2016,1,258,436,68,1.689922480620155,4.394546407339794
ISR,GBR,2012,1,595,1467,68,2.465546218487395,5.430622069004796
ISR,POL,2012,1,87,364,67,4.183908045977011,12.312338994940394
ISR,PSE,2012,1,4139,9112,66,2.201497946363856,4.9475731540060925
ISR,USA,2017,3,1000,1683,66,1.683,3.5475478990559233
ISR,CAN,2015,1,327,1155,66,3.532110091743119,9.467965498840243
ISR,SAU,2017,1,802,1900,65,2.369077306733167,5.242050412848505
ISR,BRA,2016,3,68,213,65,3.1323529411764706,10.796495301668335
ISR,UGA,2016,4,42,127,65,3.0238095238095237,10.074086765456999
ISR,LUX,2016,1,34,186,65,5.470588235294118,15.311384740571206
ISR,GBR,2016,3,194,422,65,2.1752577319587627,6.318834924548699
ISR,COL,2017,1,126,431,65,3.4206349206349205,9.604459942841698
ISR,USA,2017,4,316,641,65,2.028481012658228,5.8658937994396885
ISR,JOR,2015,2,49,142,64,2.8979591836734695,9.113279911661845
ISR,UKR,2015,4,5,68,64,13.6,28.17445651649735
ISR,FRA,2015,1,1269,2603,64,2.0512214342001576,4.053435529923968
ISR,JOR,2016,4,72,244,63,3.388888888888889,10.258017208890953
ISR,SYR,2011,1,308,782,63,2.538961038961039,5.9302494214351125
ISR,PSE,2011,1,3741,6819,62,1.8227746591820368,3.5815741915507298
ISR,BGR,2016,1,114,374,62,3.280701754385965,9.566265185101148
ISR,PSE,2017,3,1647,3212,61,1.9502125075895567,4.779075330220401
ISR,FRA,2014,1,503,970,60,1.9284294234592445,3.7169321462959735
ISR,HUN,2017,1,456,1549,59,3.3969298245614037,8.224748996037013
ISR,SAU,2017,4,17,85,59,5.0,14.124446891825535
ISR,HUN,2017,3,66,207,59,3.1363636363636362,8.234797393493547
