Source,Target,Year,QuadClass,ECount,NSources,MaxSources,AvgSources,StdDevSources
PAK,AFG,2017,4,440,1826,380,4.15,21.816489761474653
PAK,NPL,2015,1,175,1433,259,8.188571428571429,30.0419990632709
PAK,CAN,2017,1,189,2546,213,13.470899470899472,35.94995708776548
PAK,DEU,2016,1,114,636,158,5.578947368421052,18.95775216168188
PAK,CHN,2017,1,1882,3804,140,2.02125398512221,5.619474654839391
PAK,USA,2015,1,3535,7866,134,2.2251768033946253,6.551885969113254
PAK,AUS,2015,3,5,179,131,35.8,54.154408869454016
PAK,AUS,2015,1,57,226,131,3.9649122807017543,17.363719269418283
PAK,IND,2015,4,122,368,130,3.0163934426229506,13.35774985168243
PAK,TUR,2016,1,868,1791,129,2.063364055299539,6.214868039508997
PAK,QAT,2017,1,175,574,128,3.28,11.921505729167553
PAK,USA,2012,4,376,926,126,2.4627659574468086,8.022548011432818
PAK,AFG,2017,1,1906,4879,125,2.559811122770199,8.414949873981987
PAK,AFG,2015,1,3483,7976,122,2.289979902383003,7.309776452920393
PAK,GBR,2016,1,1071,1964,118,1.8338001867413631,5.393004852535976
PAK,GBR,2016,4,73,214,118,2.9315068493150687,13.69441164117207
PAK,RUS,2010,1,257,541,113,2.105058365758755,9.899132581973344
PAK,AFG,2010,1,1367,2447,111,1.7900512070226775,4.700452043338425
PAK,USA,2011,1,4465,10999,108,2.4633818589025758,5.878135610532375
PAK,USA,2017,1,2101,3712,106,1.7667777248929082,3.621872778207792
PAK,USA,2011,3,1476,3360,105,2.2764227642276422,5.954586297499563
PAK,WST,2012,1,304,696,103,2.289473684210526,6.9672800389548994
PAK,IRN,2015,1,522,1477,97,2.8295019157088124,9.249975428768332
PAK,AFG,2015,2,237,501,94,2.1139240506329116,8.344267303047989
PAK,AFG,2015,3,430,791,93,1.8395348837209302,5.453752991709882
PAK,AFG,2015,4,287,676,93,2.3554006968641117,6.342152556677216
PAK,IRQ,2010,1,45,325,91,7.222222222222222,20.277494117290917
PAK,ARE,2016,1,345,888,90,2.5739130434782607,7.499683174973111
PAK,AFG,2016,1,3269,6192,87,1.8941572346283266,3.8095487515032533
PAK,USA,2012,3,714,1490,84,2.0868347338935576,5.344068587642098
PAK,AFG,2016,3,591,1534,81,2.595600676818951,7.623597238209803
PAK,IRN,2016,1,1517,3177,81,2.094264996704021,5.479123253432102
PAK,USA,2012,1,2988,7042,81,2.356760374832664,6.377104107109439
PAK,AFG,2010,3,207,467,77,2.256038647342995,5.7316316793071245
PAK,SAU,2015,1,1471,3018,76,2.051665533650578,4.731719094732646
