Source,Target,Year,QuadClass,ECount,NSources,MaxSources,AvgSources,StdDevSources
USA,VNM,2016,1,7317,38097,919,5.206642066420664,23.1575521031241
USA,JPN,2016,1,14580,72433,799,4.967969821673526,22.177222758208814
USA,CUB,2015,1,17543,72332,735,4.123126033175626,17.32254860625186
USA,CUB,2016,1,19613,81161,722,4.138122673736807,18.76581096327479
USA,KEN,2015,1,7329,34963,712,4.770500750443444,23.40700959149066
USA,POL,2016,1,1740,14335,691,8.238505747126437,35.41324284640932
USA,RUS,2017,1,31506,159643,648,5.0670665904907,17.79252065026544
USA,WST,2016,1,2302,15354,599,6.669852302345786,29.143570698516758
USA,IRN,2017,3,3213,9819,565,3.0560224089635852,15.613979709880779
USA,AFR,2015,1,6606,23143,547,3.503330305782622,16.895239517531934
USA,DEU,2016,1,8044,41838,542,5.201143709597216,22.718404257675154
USA,MEX,2017,1,4998,16145,536,3.230292116846739,14.026247827968135
USA,VNM,2016,4,884,4029,466,4.5576923076923075,22.61990969228933
USA,CUB,2017,1,4523,17637,461,3.899403051072297,19.05873987872122
USA,RUS,2017,3,9214,41994,448,4.557629693943999,16.971262762565814
USA,SAU,2017,1,5437,16913,439,3.110722825087364,13.950541677969873
USA,DEU,2017,2,578,2824,439,4.885813148788928,26.376045525954225
USA,EUR,2016,1,5765,22743,436,3.9450130095403297,16.325558702666292
USA,ESP,2016,1,3073,16602,431,5.40253823625122,19.97145635841545
USA,ISR,2017,1,14237,42783,424,3.005057245206153,12.181490352686074
USA,RUS,2017,4,5253,24403,419,4.645535884256615,17.26337129707979
USA,FRA,2015,1,13574,63063,415,4.645867098865478,18.206965801833825
USA,GBR,2016,1,15161,57402,411,3.786161862673966,14.56069712759691
USA,SYR,2016,1,11940,39588,407,3.315577889447236,13.08263280927276
USA,PSE,2015,3,703,2381,405,3.386913229018492,17.91451525948968
USA,CHN,2016,1,23017,81923,400,3.5592388234782986,13.3616273229637
USA,VNM,2016,2,903,4343,399,4.809523809523809,20.918838995969367
USA,SAU,2016,1,8471,31458,391,3.713611143902727,16.4564367881779
USA,VAT,2015,1,908,5046,390,5.557268722466961,24.673390717754017
USA,TUR,2016,1,10154,39213,388,3.861827851093165,14.320394094991235
USA,JOR,2017,1,1445,4007,380,2.7730103806228374,16.133651180649323
USA,IRN,2016,1,12873,34844,375,2.7067505631942828,10.638444710380167
USA,MMR,2016,1,1608,4090,374,2.5435323383084576,11.150856512215393
USA,ETH,2015,1,3286,14320,372,4.357881923311017,16.85958783409372
USA,CAN,2016,1,7672,29795,369,3.883602711157456,14.121421874520586
USA,AFG,2012,1,12746,42185,367,3.309665777498823,10.845795808261043
USA,SYR,2017,4,2295,8618,364,3.755119825708061,14.477207190890516
USA,SYR,2017,3,3278,12840,362,3.9170225747406957,17.037478926537496
USA,EUR,2017,1,3315,10720,360,3.233785822021116,15.70822347843643
USA,KOR,2016,1,4375,18433,350,4.213257142857143,15.839285077931976
USA,CHN,2017,3,2174,6376,340,2.9328426862925485,11.440077682136089
USA,AFR,2016,1,4861,13793,339,2.837481999588562,14.137563503182488
USA,IRQ,2015,4,2478,5921,334,2.3894269572235673,10.157563749576836
USA,PRK,2016,1,4652,13561,334,2.915090283748925,10.948752425442638
USA,AUS,2017,1,3515,9826,333,2.795448079658606,10.953021314510814
USA,POL,2017,1,958,3555,331,3.710855949895616,16.38521733209481
USA,IRQ,2017,4,1402,7174,330,5.1169757489301,18.191243863539583
USA,TUR,2016,3,1906,5158,326,2.7061909758656872,12.19994120175334
USA,ISR,2016,3,5251,13845,326,2.6366406398781184,9.847588153750303
USA,RUS,2016,2,2512,6853,324,2.7281050955414012,10.669378683388635
USA,LAO,2016,1,3641,21550,324,5.918703652842626,22.289084305958887
USA,LTU,2016,1,183,2219,321,12.12568306010929,40.75065625370699
USA,EST,2016,1,267,3030,321,11.348314606741573,42.62251720291376
USA,LVA,2016,1,251,2657,321,10.585657370517929,44.36858836458668
USA,RUS,2016,1,22902,78448,320,3.425377696271068,11.253857797876659
USA,RUS,2016,3,8260,29198,319,3.534866828087167,12.437561496992297
USA,BEL,2016,3,363,1395,318,3.84297520661157,18.154953784705647
USA,IRQ,2016,3,2259,8586,318,3.800796812749004,15.249829146638161
USA,IDN,2010,1,5326,14642,317,2.7491550882463387,9.580583564982588
USA,ISR,2015,1,23129,64028,308,2.7682995373773185,8.97393155065391
USA,CUB,2014,1,6634,23050,305,3.474525173349412,11.27086700527292
USA,ITA,2016,1,3059,12894,302,4.215102974828375,16.138244149000265
