Source,Target,Year,QuadClass,ECount,NSources,MaxSources,AvgSources,StdDevSources
ZAF,AFR,2016,1,7941,12850,154,1.6181841077949881,3.5070338499994747
ZAF,CUB,2016,1,186,566,149,3.043010752688172,12.030963636446806
ZAF,AFR,2017,3,1908,3206,139,1.680293501048218,4.871768302700399
ZAF,AFR,2017,1,6720,9971,118,1.483779761904762,3.1773549472930487
ZAF,NGA,2015,1,359,1261,111,3.512534818941504,12.753539720419608
ZAF,SDN,2015,1,227,514,100,2.26431718061674,8.036460324907885
ZAF,AFR,2015,1,5052,8135,99,1.6102533650039588,3.106299564736562
ZAF,CAN,2016,1,120,374,95,3.1166666666666667,10.175917635274374
ZAF,CAN,2016,4,60,275,93,4.583333333333333,16.51634184747334
ZAF,AFR,2012,1,2996,5039,91,1.6819092122830441,3.1354433234381274
ZAF,NGA,2017,1,292,533,91,1.8253424657534247,5.4350562694487
ZAF,USA,2015,1,414,986,89,2.3816425120772946,7.634460626866589
ZAF,AFR,2009,1,2474,3477,85,1.4054163298302345,2.103697419080848
ZAF,AFR,2015,3,879,1484,81,1.6882821387940843,4.042849829626178
ZAF,GBR,2017,1,160,300,79,1.875,6.258327785172862
ZAF,USA,2012,1,418,1055,77,2.5239234449760763,5.9321221985304655
ZAF,AFR,2013,3,574,846,71,1.4738675958188154,3.110840140035147
ZAF,AFR,2011,4,178,445,68,2.5,7.393117886953748
ZAF,AFR,2016,2,1117,1826,68,1.6347358997314234,3.598706986916218
ZAF,AFR,2016,3,1654,2594,67,1.5683192261185006,3.1666536052949934
ZAF,MOZ,2015,1,168,579,66,3.4464285714285716,9.960856880974179
ZAF,MOZ,2015,4,29,100,66,3.4482758620689653,12.040367243143116
ZAF,ZWE,2017,2,39,231,65,5.923076923076923,13.95553958183785
ZAF,BDI,2015,2,27,284,65,10.518518518518519,20.61248757124292
ZAF,GBR,2015,3,14,98,65,7.0,17.364862842489185
ZAF,AFR,2016,4,669,1060,64,1.5844544095665172,2.9416680076878707
ZAF,BRA,2017,1,80,254,64,3.175,9.323680209993684
ZAF,MWI,2015,3,11,116,63,10.545454545454545,21.271406330394033
ZAF,GBR,2010,4,48,139,61,2.8958333333333335,8.68414937426861
ZAF,ZWE,2015,3,70,172,61,2.4571428571428573,7.532895423245762
ZAF,USA,2017,4,25,85,58,3.4,11.379806676741042
ZAF,USA,2014,4,33,117,55,3.5454545454545454,9.814182687222702
ZAF,USA,2013,1,650,1184,50,1.8215384615384616,3.598771075454248
ZAF,KEN,2016,1,350,533,50,1.522857142857143,3.3792376104190893
ZAF,AFR,2015,2,531,820,49,1.5442561205273069,2.6313458717057054
ZAF,LBY,2011,1,721,1553,48,2.1539528432732316,4.212730579643331
ZAF,NGA,2012,1,136,323,47,2.375,5.980136874440002
ZAF,ZWE,2017,1,243,442,45,1.8189300411522633,3.7877755317015045
ZAF,AFR,2010,1,1585,2548,45,1.607570977917981,2.440958004030388
ZAF,CHE,2011,1,39,117,43,3.0,6.863327411532595
ZAF,GBR,2013,3,20,61,37,3.05,8.009698069084424
ZAF,JPN,2011,3,11,85,37,7.7272727272727275,14.478196773707072
ZAF,GBR,2013,1,116,273,37,2.353448275862069,5.202431388670407
ZAF,SEN,2013,1,24,67,37,2.7916666666666665,7.30681139441981
ZAF,USA,2011,1,310,625,37,2.0161290322580645,3.9849715070624265
ZAF,DZA,2009,1,64,256,35,4.0,8.149398653440535
ZAF,IDN,2015,1,147,338,34,2.2993197278911564,4.0381993918800925
ZAF,ETH,2012,1,152,397,34,2.611842105263158,6.250880035637963
ZAF,AFR,2013,1,3880,5922,33,1.5262886597938143,1.905969412413861
ZAF,USA,2014,1,327,477,33,1.4587155963302751,2.6359900879972615
ZAF,AFR,2012,3,538,794,32,1.4758364312267658,1.9785563053069575
ZAF,BDI,2016,1,150,303,31,2.02,4.3372431165832745
ZAF,MOZ,2013,1,156,271,31,1.7371794871794872,3.1828414562020595
ZAF,MYS,2016,4,7,49,30,7.0,10.908712114635716
ZAF,LBY,2011,3,67,163,30,2.4328358208955225,5.173428265482316
ZAF,MOZ,2012,4,18,82,29,4.555555555555555,7.285943131830048
ZAF,IDN,2015,4,87,263,29,3.0229885057471266,5.421698462732559
ZAF,ISR,2012,1,69,153,29,2.217391304347826,4.925532414391097
ZAF,AFR,2015,4,505,750,28,1.4851485148514851,2.0645047322318035
ZAF,USA,2014,2,30,106,27,3.533333333333333,6.901940423474793
ZAF,COG,2013,1,25,65,26,2.6,5.01663898109747
ZAF,AFR,2011,1,2677,4123,26,1.5401568920433322,1.7827580132539371
ZAF,AFR,2014,1,2959,3974,26,1.3430212909766812,1.3584724485221384
ZAF,COG,2013,2,8,62,26,7.75,11.297913840300657
ZAF,AFG,2009,1,15,79,25,5.266666666666667,8.119347850893538
ZAF,SDN,2016,2,32,63,25,1.96875,4.246321937865757
ZAF,IRN,2016,1,216,445,24,2.060185185185185,3.204805688404628
ZAF,GBR,2010,3,25,110,24,4.4,6.103277807866852
ZAF,AFR,2013,2,330,454,23,1.3757575757575757,1.5450736111422683
ZAF,MOZ,2012,1,78,193,23,2.4743589743589745,4.130105998370448
ZAF,AFR,2009,4,194,299,23,1.541237113402062,1.9263244593682916
ZAF,EUR,2011,1,35,105,23,3.0,5.133511583357983
ZAF,USA,2016,1,550,804,22,1.461818181818182,1.5008790270869032
ZAF,FRA,2013,3,18,50,22,2.7777777777777777,4.965238641922644
ZAF,USA,2009,3,46,95,22,2.0652173913043477,3.4794774442470753
ZAF,FRA,2016,1,242,368,22,1.5206611570247934,1.992097139534048
ZAF,USA,2009,1,325,574,22,1.7661538461538462,2.5460134004984285
ZAF,AFR,2010,2,117,191,21,1.6324786324786325,2.818040070315105
ZAF,EGY,2013,1,84,123,21,1.4642857142857142,2.2678817066716923
ZAF,SSD,2016,1,84,148,20,1.7619047619047619,2.9518997257394126
ZAF,USA,2015,2,33,62,20,1.878787878787879,3.314339826398084
ZAF,GIN,2014,1,23,61,20,2.652173913043478,4.558794653814994
ZAF,ZWE,2015,4,47,117,20,2.4893617021276597,4.461781377653958
ZAF,FRA,2015,1,169,291,19,1.7218934911242603,2.2118848271527014
ZAF,CHN,2015,1,735,1128,19,1.5346938775510204,1.7268773325551265
ZAF,BDI,2015,1,129,224,19,1.7364341085271318,2.6176067905775144
ZAF,FRA,2015,3,29,72,19,2.4827586206896552,4.256261686832476
ZAF,CHN,2017,4,4,26,19,6.5,8.34665601703261
ZAF,HTI,2010,1,14,49,18,3.5,4.879312688042478
ZAF,TZA,2014,1,21,57,18,2.7142857142857144,5.090607597751541
ZAF,AFR,2013,4,274,385,18,1.405109489051095,1.445002562472003
ZAF,NGA,2013,1,60,78,18,1.3,2.1962988898506786
ZAF,NGA,2016,1,444,704,18,1.5855855855855856,1.958801257177223
ZAF,KEN,2015,1,40,64,18,1.6,2.706118423697847
ZAF,TCD,2017,1,35,155,18,4.428571428571429,6.098629133741809
ZAF,BRA,2015,1,58,131,17,2.2586206896551726,3.958381491094322
ZAF,SSD,2015,1,62,143,17,2.306451612903226,3.76170832170974
ZAF,GBR,2014,1,118,175,17,1.4830508474576272,2.1512590265009557
ZAF,LSO,2014,1,237,360,17,1.518987341772152,1.9820856129233506
ZAF,IRN,2014,3,4,24,17,6.0,7.571877794400366
ZAF,AFR,2014,2,399,534,17,1.3383458646616542,1.1178354310592185
ZAF,COG,2013,4,2,18,17,9.0,11.313708498984761
ZAF,BDI,2015,3,15,41,17,2.7333333333333334,4.333699618219101
ZAF,ZWE,2010,1,286,441,17,1.5419580419580419,1.9493557221725029
ZAF,NGA,2014,4,40,64,16,1.6,2.394437999475729
ZAF,AFR,2009,2,209,280,16,1.3397129186602872,1.4054844202799308
ZAF,NGA,2017,3,95,219,16,2.305263157894737,2.7640306838927384
ZAF,GBR,2014,2,25,49,16,1.96,3.0479501308256345
ZAF,AFR,2012,4,306,438,16,1.4313725490196079,1.3368164084617224
ZAF,AFR,2017,2,833,1147,16,1.3769507803121248,1.152775421256611
